day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,12,11,1.25,2627.844971,0,472,1187.797974,242.504456,0.043668,21022.544922,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
2,1,2,15,12,2.25,2466.022705,0,556,1112.338745,274.34787,0,21072.060547,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
3,1,3,15,12,2.25,2314.555908,0,640,1036.764038,274.371887,0,21127.019531,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
4,1,4,14,11,3.75,2161.697998,0,640,859.278259,278.618073,0.046371,20751.974609,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
5,1,5,12,11,5.059017,2010.477417,0,724,783.815002,278.931854,0,20797.691406,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
6,1,6,13,11,6.66257,1861.883179,0,808,708.406738,278.580963,0.056147,20841.289063,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
7,1,7,13,12,7.91257,1711.298584,0,892,633.086121,278.77533,0.025044,20882.984375,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
8,1,8,13,13,8.662571,1550.842651,0,976,557.764282,278.931854,0,20914.806641,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
9,1,9,13,13,12.340001,2220.629639,0,1007.774719,544.809998,278.907806,0,21679.919922,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
10,1,10,13,12,12.590001,3273.270264,0,1091.774658,468.328217,278.775665,0.021143,22942.876953,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
11,1,11,13,10,13.443555,3086.821777,0,1099.258789,357.994751,277.433258,0,22688.042969,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
12,1,12,13,11,14.193555,2907.730957,0,1183.258789,286.31485,278.851135,0,22672.474609,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
13,1,13,13,11,14.693555,2722.047852,0,1183.258789,113.500534,279.078461,0,22331.976563,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
14,1,14,12,11,16.385513,2547.251221,0,1351.258789,142.313812,278.900177,0,22741.591797,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
15,1,15,15,9,18.342621,3214.243652,0,1519.258789,173.621201,274.34726,0,23943.742188,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
16,1,16,13,10,20.417763,3041.254639,0,1519.258789,98.09684,279.087769,0,23713.230469,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
17,1,17,13,8,23.807919,2879.289063,0,1519.258789,93.108276,279.035156,0,23559.470703,0,0,0,4,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
18,1,18,12,11,25.716522,3566.768311,0,1519.258789,121.472656,279.111725,0,24278.416016,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
19,1,19,13,13,28.822695,3414.304932,0,1519.258789,148.257248,278.931702,0,24151.541016,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
20,1,20,12,11,32.784073,3262.373047,0,1519.258789,141.694992,276.707825,0.355809,23991.84375,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
21,1,21,12,8,35.201584,3108.008789,0,1519.258789,185.663284,276.888458,0,23880.25,0,0,0,4,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
22,1,22,13,11,37.628635,2950.400879,0,1519.258789,112.024796,279.111633,0,23647.802734,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
23,1,23,12,11,41.148056,3633.823486,0,1519.258789,146.944489,278.93158,0,24367.34375,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
24,1,24,10,15,43.384125,3470.434326,0,1519.258789,175.432999,276.863129,0,24194.992188,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
25,1,25,13,11,47.740044,3295.474365,0,1519.258789,104.410919,279.087616,0,23967.011719,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
26,1,26,12,11,51.351959,3120.015381,0,1519.258789,133.286392,279.087585,0,23838.427734,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
27,1,27,9,10,54.001022,2937.522949,0,1519.258789,167.214401,276.861877,0,23656.113281,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
28,1,28,11,8,57.735958,3591.171875,0,1519.258789,96.416649,277.912994,0.184821,24256.962891,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
