day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,7.103373,16.982086,17.664858,2632.651855,0,472,1191.062988,182.708725,2.835553,21017.115234,0,0,0,3,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
2,1,2,6.284601,0,46.979298,2454.899902,0,472,1019.411499,191.362808,1.036943,20673.716797,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
3,1,3,12.600813,3.4853,78.979294,2278.142334,0,556,949.984558,170.73349,0.934811,20699.9375,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
4,1,4,23,18.017746,105.457329,2105.58374,0,640,879.281494,177.235107,0.600714,20724.275391,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
5,1,5,22.541328,15.88632,136.610825,1930.003418,0,724,809.500916,173.867065,0.719511,20746.515625,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
6,1,6,0.719564,23,166.987244,2596.348877,0,808,738.948181,171.205109,0.538041,21609.908203,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
7,1,7,6.995591,7.887168,196.500244,3262.33374,0,892,668.236938,156.217255,2.301595,22472.78125,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
8,1,8,11.663786,21.755836,225.489365,3087.159424,0,976,597.605286,144.692337,1.712048,22494.576172,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
9,1,9,23,22.934711,257.287018,2910.581055,0,1060,529.871155,90.915833,2.257071,22520.273438,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
10,1,10,23,22.934711,257.287018,3573.808594,0,1144,456.372162,169.628326,0,23377.601563,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
