day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,12,12,0,4028.667236,0,775,2460.176758,172.212875,0,32005.345703,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
2,1,2,12,12,0,3865.04126,0,1000,2302.939941,173.010757,0,32424.410156,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
3,1,3,12,12,0,3706.479248,0,1123.169678,2145.758301,173.728546,0,32514.421875,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
4,1,4,12,12,0,3552.800537,0,1123.169678,2015.974487,173.348846,0,32229.763672,0,0,0,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
5,1,5,12,12,0,3396.708496,0,1123.169678,1592.547241,173.904236,0,31649.044922,0,0,0,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
6,1,6,12,12,0,3241.977295,0,1123.169678,1169.652466,174.003067,0,31070.216797,0,0,0,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
7,1,7,12,12,0,3199.994873,0,1123.169678,747.086243,173.327103,0,30604.46875,0,0,0,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
8,1,8,12,12,0,3035.283447,0,1123.169678,324.828796,172.974152,0,30016.298828,0,0,0,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
9,1,9,12,12,0,2866.723389,0,1120.678345,0,154.891571,0,29472.982422,0,0,0,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure|maintain electrical systems"
10,1,10,12,12,0,2692.091553,0,1110.677124,0,41.073357,0,29296.708984,0,0,0,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure|maintain electrical systems"
11,1,11,12,12,0,2515.922363,0,1100.682739,0,0,0,29067.140625,0,0,11.715841,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
12,1,12,12,12,0,2340.555664,0,1090.691162,0,0,0,28889.748047,0,0,31.152374,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
13,1,13,12,12,0,2164.65332,0,1080.706299,0,0,0,28660.716797,0,0,50.668056,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
14,1,14,12,12,0,1986.41333,0,1070.732178,0,0,0,28479.833984,0,0,70.255653,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
15,1,15,12,12,0,1810.496826,0,1060.763672,0,0,0,28248.082031,0,0,89.891235,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
16,1,16,12,12,0,1643.088745,0,1050.793701,0,0,0,28077.382813,0,0,109.465302,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
17,1,17,12,12,0,1483.456055,0,1040.82019,0,0,0,27902.820313,0,0,128.897766,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
18,1,18,12,12,0,1324.395874,0,1030.848267,0,0,0,27715.292969,0,0,148.257401,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
19,1,19,12,12,0,1167.187744,0,1020.887817,0,0,0,27527.761719,0,0,167.582397,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
20,1,20,12,12,0,1009.853394,0,1010.942505,0,0,0,27340.148438,0,0,186.862488,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
21,1,21,12,12,0,851.705383,0,1001.004639,0,0,0,27151.740234,0,0,206.11676,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
22,1,22,12,12,0,693.968384,0,991.069275,0,0,0,26963.751953,0,0,225.350189,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
23,1,23,12,12,0,531.440186,0,981.148193,0,0,0,26771.015625,0,0,244.5802,3,1,None,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
24,1,24,12,12,0,363.706421,0,971.243408,0,0,0,26541.755859,0,0,264.025787,3,1,None,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure"
