day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,7.103708,16.986656,17.656164,4023.276855,0,775,2553.291016,115.472542,4.367287,32075.96875,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
2,1,2,6.284283,0,46.969723,3836.144775,0,1000,2493.390381,119.74118,2.339108,32557.447266,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
3,1,3,12.602581,3.478511,78.969727,3650.00708,0,1000,2164.454346,110.705376,1.641407,32048.302734,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
4,1,4,23,18.001778,105.445923,3468.070313,0,1225,2102.821045,130.793198,1.280615,32523.53125,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
5,1,5,22.54203,15.881754,136.59697,3283.108643,0,1450,2042.359375,131.09642,1.53634,32996.90625,0,0,0,4,1,None,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
6,1,6,0.721923,23,166.970596,4360.072266,0,1450,1710.91626,154.424591,0.861638,33741.230469,0,0,0,4,1,None,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
7,1,7,7.000488,7.88736,196.484756,4176.674316,0,1675,1649.309814,142.237152,3.608696,34215.027344,0,0,0,4,1,None,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
8,1,8,11.667439,21.755226,225.474884,5252.115234,0,1900,1588.151123,125.527245,3.687641,35948.109375,0,0,0,4,1,None,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
9,1,9,23,22.934746,257.272247,5066.151367,0,1900,1261.398315,52.521675,3.923517,35437.277344,0,0,0,4,1,None,0.003906,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
10,1,10,23,22.934746,257.272247,4879.88916,0,2125,1193.255005,178.457306,0,35901.667969,0,0,0,4,1,None,0.003906,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
11,1,11,23,22.934746,257.272247,4690.337891,0,2350,1123.549316,178.457291,0,36361.214844,0,0,0,4,1,None,0.003906,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
12,1,12,23,22.934746,257.272247,4499.990723,0,2575,1053.879028,166.307312,0,36819.996094,0,0,0,4,1,None,0.003906,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
13,1,13,23,22.934746,257.272247,4308.526855,0,2575,714.113342,178.457306,0,36287.566406,0,0,0,4,1,None,0.003906,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
14,1,14,23,21.644161,266.0242,4122.233887,0,2800,646.470032,140.165085,3.764387,36756.050781,0,0,0,4,1,None,0.003906,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
15,1,15,23,20.076042,291.842072,4129.666992,0,3025,585.823242,126.276466,1.994018,37428.882813,0,0,0,4,1,None,0.003906,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
16,1,16,23,13.698539,319.202942,5034.141113,0,3025,253.698318,124.662323,1.115271,38010.898438,0,0,0,4,1,None,0.003906,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
17,1,17,7.033216,15.985884,349.224731,4850.547363,0,3250,192.410187,71.905624,4.37668,38488.441406,0,0,0,4,1,None,0.003906,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
18,1,18,12.562107,14.400017,377.185944,4670.00293,0,3244.654297,0,0,3.941532,38100.039063,0,0,0,4,1,None,0.003906,"heat caravan|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
19,1,19,12.453836,13.658619,377.376495,4515.048828,0,3234.678955,0,0,0,37915.050781,0,0,21.599295,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
20,1,20,12.141594,13.454272,377.470032,4360.622559,0,3224.712158,0,0,0,37728.476563,0,0,44.537609,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
21,1,21,11.981782,13.286483,377.532654,4206.588867,0,3214.765869,0,0,0,37542.367188,0,0,67.428268,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
22,1,22,16.681915,12.2547,378.746246,4049.253174,0,3204.783691,0,0,0,37352.84375,0,0,90.29155,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
23,1,23,20.31728,10.849766,380.100006,3888.704834,0,3194.812744,0,0,0,37165.523438,0,0,113.773781,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
24,1,24,20.024635,10.531729,380.208038,4319.814941,0,3184.919189,0,0,0,37564.714844,0,0,137.39389,4,1,None,0.003906,"maintain caravan water circuit|maintain living structure|move|movement water loss|movement organic maintenance"
