day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,11,13,0.5,1349.470093,0,116.016052,439.343781,27.00901,0.017445,6924.605469,0,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
2,1,2,10,14,1,1209.653687,0,116.016052,575.947571,31.222548,0,6924.512695,0,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
3,1,3,11,15,1.5,1067.617798,0,116.016052,683.414856,36.603928,0,6889.824219,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
4,1,4,11,15,1.5,933.616577,0,116.016052,684.691528,44.11776,0,6755.899414,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
5,1,5,11,15,1.5,799.962708,0,116.016052,686.031982,44.259308,0,6622.38623,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
6,1,6,11,16,1.75,1206.363403,0,116.016052,687.38092,44.258446,0,7028.936035,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
7,1,7,11,17,2,1343.447876,0,116.016052,688.803284,44.258015,0,7166.242676,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
8,1,8,11,18,2.25,1477.400879,0,116.016052,690.285095,44.257401,0,7301.137695,0,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
9,1,9,11,18,2.25,1337.47229,0,116.016052,691.831482,44.252472,0,7163.535156,0,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
10,1,10,12,18,2.5,1465.906372,0,116.016052,693.396179,44.252068,0,7296.11377,0,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
