day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,12,12,0,1352.251831,0,125,352.015564,37.415394,0,6868.807617,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
2,1,2,12,12,0,1212.245605,0,143,340.852173,43.376144,0,6778.357422,0,0,0,3,1,None,0.000488,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
3,1,3,12,12,0,1077.323242,0,152,308.679596,44.129154,0,6643.183105,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
4,1,4,12,12,0,947.24176,0,170,297.512543,44.165928,0,6559.954102,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
5,1,5,12,12,0,814.83075,0,188,286.345917,44.189743,0,6472.775879,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
6,1,6,12,12,0,683.686646,0,206,275.183655,43.526722,0,6386.870117,0,0,0,3,1,None,0.000488,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
7,1,7,12,12,0,649.446228,0,215,243.026306,44.201302,0,6348.072266,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
8,1,8,12,12,0,508.36618,0,233,231.870377,44.203938,0,6252.236328,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
9,1,9,12,12,0,362.657928,0,251,220.866379,44.253952,0,6154.083496,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
10,1,10,12,12,0,210.850983,0,265.233002,209.923172,44.229546,0,6039.999512,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
11,1,11,12,12,0,57.495335,0,265.233002,198.986847,44.231434,0,5878.82666,0,0,0,3,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
12,1,12,12,12,0,0,0,265.233002,161.73735,43.959564,0,5787.193848,14.966391,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain living structure|maintain electrical systems"
13,1,13,12,12,0,0,0,265.233002,112.464455,43.419052,0,5740.986328,38.966393,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain living structure|maintain electrical systems"
14,1,14,12,12,0,0,0,265.233002,63.704277,42.88715,0,5695.240723,62.966393,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain living structure|maintain electrical systems"
15,1,15,12,12,0,0,0,265.233002,15.446459,42.395176,0,5649.946777,86.966393,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain living structure|maintain electrical systems"
16,1,16,12,12,0,0,0,259.834198,0,37.267479,0,5621.278809,110.966393,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
17,1,17,12,12,0,0,0,252.632309,0,29.036612,0,5602.619141,134.9664,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
18,1,18,12,12,0,0,0,245.432114,0,20.87925,0,5580.906738,158.9664,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
19,1,19,12,12,0,0,0,238.243454,0,12.862921,0,5558.220703,182.9664,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
20,1,20,12,12,0,0,0,231.069901,0,4.906505,0,5535.580078,206.9664,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
21,1,21,12,12,0,0,0,223.903732,0,0,0,5512.960938,226.016403,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure"
22,1,22,12,12,0,0,0,216.740051,0,0,0,5490.349609,250.016403,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure"
23,1,23,12,12,0,0,0,209.590637,0,0,0,5467.78125,274.016418,0,0,3,1,None,0.000488,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure"
24,1,24,12,12,0,0,0,202.457611,0,0,0,5449.003418,298.016418,0,0,3,1,None,0.000488,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure"
