day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,8.009993,17.081507,17.444294,1346.940063,0,116,355.564758,17.279537,0.789869,6835.904785,0,0,0,3,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
2,1,2,2.528562,0,47.645348,1183.902344,0,125,345.027008,10.096644,0,6692.091797,0,0,0,4,1,None,0.000488,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
3,1,3,0,0,69.719994,1029.645508,0,134,330.584198,10.88749,0,6551.533203,0,0,0,4,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
4,1,4,0,0,69.719994,897.651428,0,143,320.87204,17.821728,0,6438.323242,0,0,0,4,1,None,0.000488,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
5,1,5,0,0,69.719994,767.699158,0,152,311.056946,24.77273,0,6327.355957,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
6,1,6,0,0,69.719994,635.381409,0,161,301.406189,31.643614,0,6214.1875,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
7,1,7,13.287311,23,79.793167,1572.20874,0,170,291.441376,37.100349,0,7169.849609,0,0,0,4,1,None,0.000977,"withdraw surface water|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
8,1,8,23,23,90.046005,1421.187622,0,179,281.370514,40.225597,0,7037.557617,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
9,1,9,23,23,90.046005,1536.516479,0,197,292.553833,43.651608,0,7221.669434,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
10,1,10,23,23,90.046005,1373.936646,0,206,282.699341,43.651608,0,7078.035156,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
11,1,11,23,23,90.046005,1478.10022,0,215,272.892456,43.6516,0,7201.192871,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
12,1,12,23,23,90.046005,1581.504517,0,224,263.104187,43.489601,0,7323.60791,0,0,0,4,1,None,0.000977,"withdraw surface water|harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
13,1,13,23,23,90.046005,1413.843872,0,233,253.29628,43.651596,0,7174.94043,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Охлаждающий орган|grow Каркас"
14,1,14,23,21.643568,98.817902,1521.229858,0,242,243.37616,39.270832,0.330415,7301.602051,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
15,1,15,22.505575,21.943089,124.515152,1362.787354,0,251,233.643066,27.037985,0.404426,7162.121582,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
16,1,16,23,16.422035,150.442307,1474.561768,0,260,223.692307,22.218077,0,7292.852051,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
17,1,17,11.265957,0,176.877625,1584.840454,0,269,213.562103,14.912642,0,7422.244629,0,0,0,4,1,None,0.000977,"withdraw surface water|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
