day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,11,12,0.25,1942.069946,0,210.112778,418.626373,287.474396,0,16455.757813,0,0,0,3,1,None,0.000244,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
2,1,2,10,14,1,1794.143311,0,270.266998,474.616516,325.235291,0.049658,16568.314453,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
3,1,3,10,15,1.25,1644.468384,0,270.266998,530.907104,369.583618,0,16478.679688,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
4,1,4,11,16,1.75,1500.932983,0,270.266998,587.48938,413.306305,0.042101,16390.527344,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
5,1,5,11,18,2.25,1353.621826,0,270.266998,644.403503,458.645477,0,16298.929688,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
6,1,6,12,17,2.75,1464.757935,0,270.266998,701.663635,497.955933,0,16466.126953,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
7,1,7,12,16,3,2400.283936,0,270.266998,759.23468,518.824707,0,17458.023438,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
8,1,8,12,14,3.5,2248.892578,0,270.266998,817.126465,518.823608,0,17363.324219,0,0,0,3,1,None,0.000977,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
9,1,9,9,14,4.25,2090.300293,0,270.266998,875.361145,518.540283,0.042508,17270.015625,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
10,1,10,9,15,4.5,2468.789063,0,270.266998,933.986877,518.804749,0,17719.130859,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
11,1,11,10,17,5.103553,2304.702637,0,270.266998,938.298706,518.946472,0,17571.357422,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
12,1,12,10,18,5.353553,2145.536377,0,270.266998,940.320435,518.946228,0,17374.910156,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
13,1,13,11,19,5.707107,2342.588867,0,270.266998,942.387207,518.945862,0,17586.03125,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
14,1,14,10,19,5.957107,2186.411377,0,270.266998,944.494934,518.945496,0,17443.960938,0,0,0,4,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Жатка живой массы|grow Сборщик сухой массы|grow Сушильный орган|grow Органическое хранилище|grow Биореактор / топка"
