day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,12,12,0,1944.054932,0,210,415.796906,281.57785,0,16454.552734,0,0,0,3,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
2,1,2,12,12,0,1795.846313,0,285,417.415131,316.46582,0,16559.964844,0,0,0,3,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
3,1,3,12,12,0,1652.721313,0,330,383.024902,354.173981,0,16535.146484,0,0,0,3,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
4,1,4,12,12,0,1514.442871,0,360,330.641632,393.957825,0,16440.9375,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
5,1,5,12,12,0,1373.827637,0,405,296.257965,432.932739,0,16408.734375,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
6,1,6,12,12,0,1234.486938,0,440.415863,261.87912,472.737549,0,16347.147461,0,0,0,3,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
7,1,7,12,12,0,1195.509888,0,440.415863,245.504227,512.866455,0,16290.59375,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
8,1,8,12,12,0,1046.226196,0,440.415863,247.12999,518.626648,0,16141.735352,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
9,1,9,12,12,0,892.0755,0,440.415863,248.757034,518.56311,0,15992.960938,0,0,0,3,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
10,1,10,12,12,0,731.746338,0,440.415863,165.363419,518.535461,0,15761.237305,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Солнечный лист|grow Сушильный орган|grow Батарея|grow Электромотор"
11,1,11,12,12,0,570.349854,0,440.415863,80.316132,518.665344,0,15476.694336,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
12,1,12,12,12,0,409.756775,0,439.413666,0,518.673889,0,15244.709961,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
13,1,13,12,12,0,248.64238,0,431.366638,0,495.628601,0,15070.904297,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure|maintain electrical systems"
14,1,14,12,12,0,85.194145,0,423.330383,0,471.951843,0,14894.798828,0,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain caravan water circuit|maintain living structure|maintain electrical systems"
15,1,15,12,12,0,0,0,415.299713,0,448.419586,0,14745.963867,11.421556,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
16,1,16,12,12,0,0,0,407.267578,0,426.717682,0,14733.174805,35.421555,0,0,3,1,None,0.000977,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|maintain living structure|maintain electrical systems"
