day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,7.103197,16.979738,17.669235,1938.581665,0,210,418.040527,234.483078,2.235657,16442.322266,0,0,0,3,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
2,1,2,6.284772,0,46.984104,1766.761475,0,285,418.745117,215.683197,1.134027,16514.960938,0,0,0,3,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
3,1,3,12.599831,3.488776,78.9841,1595.937378,0,330,383.372803,174.575699,0.828363,16454.867188,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
4,1,4,23,18.02594,105.463142,1429.310913,0,360,330.225586,155.787674,0.617047,16329.893555,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
5,1,5,22.54097,15.888673,136.617889,1259.664917,0,405,294.915558,134.402634,0.726889,16267.738281,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
6,1,6,0.718709,23,166.995789,1631.944458,0,450,259.628998,110.641808,0.426563,16747.53125,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
7,1,7,6.993038,7.887068,196.508133,2543.865723,0,480,206.412506,78.207222,1.859326,17701.033203,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
8,1,8,11.661868,21.756157,225.496857,2374.628174,0,525,171.156143,43.327042,1.735527,17639.484375,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Охлаждающий орган|grow Каркас"
9,1,9,19.48914,23,251.839996,2209.158936,0,570,136.331924,1.113113,0.518198,17584.097656,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance"
10,1,10,23,23,259.70874,2588.686523,0,615,102.204742,28.321875,0,18072.591797,0,0,0,4,1,None,0.000977,"withdraw surface water|harvest live biomass|harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems"
