year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,nitrogen_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,organic_nitrogen_min,organic_nitrogen_mean,organic_nitrogen_max,structural_nitrogen_min,structural_nitrogen_mean,structural_nitrogen_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
1,Winter,2160,0,364.959251,0,0,0,0,1551.250488,2137.607422,2786.724365,321.106079,878.759033,2051.346436,183.416245,275.80304,279.537903,7.523002,10.697245,17.80719,178.884003,179.962021,180.94725,0,0.090175,3.90366,17.999996,17.999998,18,18420.222656,20028.830078,22490.378906,"Travel:446|CollectWater:17|HarvestDryBiomass:236|DryOrganicMatter:3|CollectChitin:18","burn dry organic matter:720|heat caravan:720|reject heat:720|move:372|movement water loss:372|movement organic maintenance:372|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|grow Парус:341|grow Резервуар:352|grow Органическое хранилище:535|grow Каркас:352|capture dust:592|power intake and harvest:630|generate solar electricity:275|grow Солнечный лист:341|harvest dry biomass:235|grow Биореактор / топка:194|grow Сборщик сухой массы:193|grow Тепловой орган:11|withdraw surface water:11|grow Водозабор:9|grow Охлаждающий орган:3|grow Ростовая ткань:11|collect chitin:9|atrophy Парус:183|atrophy Солнечный лист:360|atrophy Водозабор:360|atrophy Снегосборник:360|atrophy Жатка живой массы:360|atrophy Сушильный орган:360|atrophy Электромотор:360|atrophy Тепловой орган:360|spoil wet organic matter:61|atrophy Сборщик сухой массы:94|atrophy Ростовая ткань:247"
1,Spring,2208,0,413.640667,0,0,0,0,1618.171875,2071.001465,2530.275635,590.22229,781.319336,953.66095,241.620956,276.846161,279.520844,7.864395,9.334894,10.586836,179.904465,180.226242,180.634064,0,0.125812,6.060921,18,18,18,18571.363281,19191.564453,19745.962891,"Travel:447|CollectWater:20|HarvestDryBiomass:257|CollectChitin:12","capture dust:553|burn dry organic matter:736|power intake and harvest:602|heat caravan:519|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:447|grow Солнечный лист:447|grow Резервуар:467|grow Органическое хранилище:704|grow Каркас:459|atrophy Парус:281|atrophy Солнечный лист:329|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:338|movement water loss:338|movement organic maintenance:338|grow Сборщик сухой массы:257|grow Биореактор / топка:257|harvest dry biomass:137|generate solar electricity:398|grow Водозабор:20|grow Тепловой орган:20|withdraw surface water:10|grow Ростовая ткань:12|collect chitin:6"
1,Summer,2208,0,503.779248,0,0,0,0,1719.500732,2205.16748,2678.339844,669.404785,888.537231,1089.410156,242.592377,276.305511,279.502777,8.927685,10.590823,12.029153,180.635269,181.111816,181.664963,0,0.159083,5.901409,18,18.423914,24.563765,18815.369141,19384.957031,19980.308594,"Travel:471|CollectWater:25|HarvestDryBiomass:224|CollectChitin:16","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|move:357|movement water loss:357|movement organic maintenance:357|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:471|grow Солнечный лист:471|grow Резервуар:496|grow Органическое хранилище:695|grow Каркас:487|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|generate solar electricity:438|grow Сборщик сухой массы:224|grow Биореактор / топка:224|grow Водозабор:25|grow Тепловой орган:25|withdraw surface water:12|power intake and harvest:517|harvest dry biomass:119|capture dust:446|grow Ростовая ткань:16|collect chitin:8|heat caravan:29"
1,Autumn,2184,33,390.058545,0,0,0,66,1884.448608,2286.08374,2710.712646,68.573715,1017.917847,1969.869141,0,227.972885,279.712433,10.424717,14.493196,18.284458,180.944595,181.509277,181.955688,0,0.183724,4.542435,7.744367,17.684074,18.000004,19142.832031,21282.998047,22372.806641,"Hibernate:11|Travel:189|CollectWater:21|HarvestLiveBiomass:24|HarvestDryBiomass:96|DryOrganicMatter:383|CollectChitin:4","capture dust:290|burn dry organic matter:334|power intake and harvest:343|reject heat:407|spoil wet organic matter:559|maintain caravan water circuit:728|maintain living structure:728|circulate organic nitrogen:728|maintain electrical systems:700|grow Парус:127|grow Солнечный лист:133|grow Резервуар:132|grow Органическое хранилище:207|grow Каркас:127|atrophy Водозабор:728|atrophy Снегосборник:728|atrophy Жатка живой массы:728|atrophy Сушильный орган:728|atrophy Электромотор:728|atrophy Тепловой орган:728|heat caravan:684|move:253|movement water loss:253|movement organic maintenance:253|grow Сборщик сухой массы:80|grow Биореактор / топка:80|harvest dry biomass:70|generate solar electricity:316|grow Водозабор:5|grow Тепловой орган:5|withdraw surface water:10|harvest live biomass:33|grow Жатка живой массы:18|grow Охлаждающий орган:6|collect chitin:2|atrophy Сборщик сухой массы:512|atrophy Охлаждающий орган:284|atrophy Ростовая ткань:317|atrophy Биореактор / топка:223|enter hibernation:1|hibernate:11|leave hibernation:1|atrophy Солнечный лист:143"
2,Winter,2160,0,538.401065,0,0,0,0,1936.589966,2446.620605,3090.904297,1113.418945,1239.884277,1411.667969,245.885513,276.191376,279.633148,13.454927,14.926805,16.942371,180.37323,182.13118,185.111572,0,0.163948,5.142624,17.999996,17.999996,17.999996,21698.230469,22554.365234,23742.123047,"Travel:435|CollectWater:22|HarvestDryBiomass:212|DryOrganicMatter:38|CollectChitin:13","harvest dry biomass:196|burn dry organic matter:720|power intake and harvest:550|heat caravan:720|reject heat:720|move:367|movement water loss:367|movement organic maintenance:367|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|atrophy Парус:175|atrophy Солнечный лист:720|atrophy Водозабор:720|atrophy Снегосборник:720|atrophy Жатка живой массы:720|atrophy Сушильный орган:720|atrophy Электромотор:720|atrophy Тепловой орган:720|atrophy Ростовая ткань:47|grow Сборщик сухой массы:107|grow Органическое хранилище:217|grow Биореактор / топка:107|grow Парус:110|grow Солнечный лист:118|grow Резервуар:111|grow Каркас:116|capture dust:483|generate solar electricity:279|grow Ростовая ткань:6|collect chitin:6|withdraw surface water:11|spoil wet organic matter:123|grow Охлаждающий орган:8|grow Водозабор:1|grow Тепловой орган:1|grow Жатка живой массы:8"
2,Spring,2208,0,774.99642,0,0,0,0,1932.104858,2339.654053,2741.399658,771.059509,1113.737793,1436.102661,237.34935,273.9104,279.395203,11.681845,13.356971,15.098062,180.206863,180.309219,180.694901,0,0.381571,6.541203,17.999996,17.999996,17.999996,21211.888672,21911.876953,22591.175781,"Travel:284|CollectWater:29|HarvestDryBiomass:199|DryOrganicMatter:206|CollectChitin:18","harvest dry biomass:126|burn dry organic matter:736|power intake and harvest:432|heat caravan:477|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Сборщик сухой массы:136|grow Органическое хранилище:263|grow Биореактор / топка:136|atrophy Солнечный лист:285|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:460|movement water loss:460|movement organic maintenance:460|grow Парус:127|grow Солнечный лист:233|grow Резервуар:138|grow Каркас:144|generate solar electricity:394|withdraw surface water:15|capture dust:348|collect chitin:6|grow Охлаждающий орган:106|grow Водозабор:11|grow Тепловой орган:11|grow Жатка живой массы:60|grow Ростовая ткань:17"
2,Summer,2208,0,828.650652,0,0,0,0,2007.646973,2441.046875,2887.713867,700.866333,1118.593628,1563.507568,248.148087,274.335815,279.331085,11.976033,13.228838,14.739929,180.697754,181.862137,183.085449,0,0.371746,3.95594,17.999996,17.999996,17.999996,20779.091797,21340.712891,21925.365234,"Travel:264|CollectWater:28|HarvestDryBiomass:189|DryOrganicMatter:243|CollectChitin:12","capture dust:367|burn dry organic matter:736|power intake and harvest:457|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:264|grow Солнечный лист:507|grow Резервуар:292|grow Органическое хранилище:453|grow Каркас:276|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:463|movement water loss:463|movement organic maintenance:463|grow Жатка живой массы:189|grow Сборщик сухой массы:189|grow Биореактор / топка:189|harvest dry biomass:126|generate solar electricity:440|grow Охлаждающий орган:243|grow Ростовая ткань:12|grow Водозабор:28|grow Тепловой орган:28|withdraw surface water:14|collect chitin:5|heat caravan:21"
2,Autumn,2184,0,650.65306,0,936,936,0,2153.272705,2622.353516,3072.63208,327.422729,1254.734375,2101.031738,225.627762,275.394104,279.579407,13.182273,15.274511,18.922491,183.088867,184.287552,185.075958,0,0.271617,6.143299,17.999996,17.999996,17.999996,20822.224609,21935.566406,23698.054688,"Travel:471|CollectWater:24|HarvestLiveBiomass:23|HarvestDryBiomass:163|DryOrganicMatter:33|CollectChitin:14","burn dry organic matter:727|reject heat:727|spoil wet organic matter:607|move:352|movement water loss:352|movement organic maintenance:352|maintain caravan water circuit:728|maintain living structure:728|circulate organic nitrogen:728|maintain electrical systems:728|grow Парус:396|grow Солнечный лист:412|grow Резервуар:414|grow Органическое хранилище:549|grow Каркас:410|atrophy Водозабор:728|atrophy Снегосборник:728|atrophy Жатка живой массы:728|atrophy Сушильный орган:728|atrophy Электромотор:728|atrophy Тепловой орган:728|capture dust:373|power intake and harvest:446|heat caravan:708|generate solar electricity:324|grow Охлаждающий орган:16|grow Жатка живой массы:128|grow Сборщик сухой массы:153|grow Биореактор / топка:153|harvest dry biomass:90|grow Водозабор:18|grow Тепловой орган:18|withdraw surface water:12|grow Ростовая ткань:14|collect chitin:8|harvest live biomass:13|atrophy Сборщик сухой массы:95|atrophy Солнечный лист:199"
3,Winter,2160,0,474.779351,0,396,396,0,2364.027832,3068.260254,4139.835449,1247.16394,1554.428223,2155.165771,258.914734,277.569855,279.676605,15.176621,18.489222,24.414639,185.098557,190.321945,201.081512,0,0.150605,2.842299,17.999996,17.999996,17.999996,22988.720703,24196.482422,26349.595703,"Travel:499|CollectWater:25|HarvestLiveBiomass:3|HarvestDryBiomass:161|DryOrganicMatter:30|CollectChitin:2","withdraw surface water:13|capture dust:500|burn dry organic matter:720|power intake and harvest:550|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|atrophy Солнечный лист:720|atrophy Водозабор:720|atrophy Снегосборник:720|atrophy Жатка живой массы:720|atrophy Сушильный орган:720|atrophy Электромотор:720|atrophy Тепловой орган:720|harvest dry biomass:147|move:342|movement water loss:342|movement organic maintenance:342|grow Жатка живой массы:107|grow Сборщик сухой массы:111|grow Органическое хранилище:420|grow Биореактор / топка:111|grow Парус:306|grow Солнечный лист:316|grow Резервуар:317|grow Каркас:308|generate solar electricity:270|atrophy Парус:408|spoil wet organic matter:317|grow Охлаждающий орган:10|grow Водозабор:11|grow Тепловой орган:11|atrophy Сборщик сухой массы:248|harvest live biomass:3|collect chitin:1|grow Ростовая ткань:2"
3,Spring,2208,0,759.728005,0,1026,1026,0,2427.266846,2893.377197,3388.636475,1063.072632,1450.309326,1832.071289,242.238464,274.023529,279.679993,15.495253,17.118841,18.883995,185.375931,187.083237,189.07045,0,0.385328,5.00186,17.999996,17.999996,17.999996,23023.964844,23564.912109,24037.576172,"Travel:338|CollectWater:28|HarvestLiveBiomass:3|HarvestDryBiomass:148|DryOrganicMatter:196|CollectChitin:23","capture dust:393|burn dry organic matter:736|power intake and harvest:461|heat caravan:391|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:333|grow Солнечный лист:523|grow Резервуар:359|grow Органическое хранилище:476|grow Каркас:355|atrophy Солнечный лист:254|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:429|movement water loss:429|movement organic maintenance:429|generate solar electricity:393|harvest dry biomass:100|grow Жатка живой массы:143|grow Сборщик сухой массы:140|grow Биореактор / топка:140|collect chitin:10|withdraw surface water:14|grow Ростовая ткань:22|grow Охлаждающий орган:190|grow Водозабор:26|grow Тепловой орган:26|harvest live biomass:3"
