year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Winter,Sail,"м²",160,173.696808,192.949097,0.950344,0.985965,1,0.086323,0.197222
1,Winter,SolarLeaf,"м²",134.969025,137.862015,143.316254,0.950344,0.985965,1,0.024758,0.197222
1,Winter,WaterIntake,"л/ч",258.368073,272.980927,280,0.950344,0.985965,1,0.007252,0.008333
1,Winter,SnowCollector,"м²",65.278877,71.718651,75,0.950344,0.985965,1,0.004921,0.344444
1,Winter,WaterReservoir,"л",4800,5403.689453,6231.814453,0.950344,0.985965,1,0.270396,0.655556
1,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",24.933622,26.972757,28,0.950344,0.985965,1,0.002067,0
1,Winter,DryBiomassCollector,"кг/ч",34,35.048512,36.837566,0.950344,0.985965,1,0.129727,0.172222
1,Winter,Dryer,"кг сух. в-ва/ч",27.708302,30.572573,32,0.950344,0.985965,1,0,0
1,Winter,OrganicStorage,"кг",2600,3029.199219,3649.620605,0.950344,0.985965,1,0.172715,0.655556
1,Winter,Furnace,"кВт",75,76.83847,79.700638,0.950344,0.985965,1,0.252736,0.655556
1,Winter,Battery,"кВт·ч",280,280,280,0.950344,0.985965,1,0.197727,0.295833
1,Winter,ElectricMotor,"кВт",113.659409,124.574791,130,0.950344,0.985965,1,0.000663,0.015278
1,Winter,ThermalOrgan,"кВт",57.928665,62.673714,65,0.950344,0.985965,1,0.013324,0.655556
1,Winter,Radiator,"кВт",80,80.171852,80.441109,0.950344,0.985965,1,0.176889,0.655556
1,Winter,GrowthTissue,"кг структуры/сут",1.8,2.017544,2.379496,0.950344,0.985965,1,0.25046,0.638889
1,Winter,Frame,"кг несущей способности",32000,32256.748047,32615.900391,0.950344,0.985965,1,0.388177,0.655556
1,Spring,Sail,"м²",167.048538,172.246857,177.813766,1,1,1,0.138955,0.256793
1,Spring,SolarLeaf,"м²",135.025345,135.799866,137.217026,1,1,1,0.219437,0.506793
1,Spring,WaterIntake,"л/ч",272.382965,275.516602,278.842194,1,1,1,0.013587,0.013587
1,Spring,SnowCollector,"м²",71.506378,73.005188,74.524757,1,1,1,0,0
1,Spring,WaterReservoir,"л",5117.616211,5362.613281,5608.84668,1,1,1,0.390444,1
1,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",26.695717,27.255274,27.82258,1,1,1,0,0
1,Spring,DryBiomassCollector,"кг/ч",34.5033,35.086441,35.649315,1,1,1,0.181927,0.186141
1,Spring,Dryer,"кг сух. в-ва/ч",30.509392,31.148886,31.797241,1,1,1,0,0
1,Spring,OrganicStorage,"кг",2811.091553,2994.662842,3181.771484,1,1,1,0.254863,1
1,Spring,Furnace,"кВт",75.915726,76.825317,77.69883,1,1,1,0.334342,1
1,Spring,Battery,"кВт·ч",280,280,280,1,1,1,0.494314,0.576087
1,Spring,ElectricMotor,"кВт",124.218346,126.683441,129.202011,1,1,1,0.001691,0.03125
1,Spring,ThermalOrgan,"кВт",63.071026,64.053123,64.813026,1,1,1,0.005746,0.273098
1,Spring,Radiator,"кВт",80.281219,80.281219,80.281219,1,1,1,0.269208,1
1,Spring,GrowthTissue,"кг структуры/сут",1.925605,2.054154,2.116098,1,1,1,0.355616,1
1,Spring,Frame,"кг несущей способности",32131.943359,32238.960938,32345.548828,1,1,1,0.595901,1
1,Summer,Sail,"м²",177.838501,183.570541,189.987106,1,1,1,0.151304,0.274457
1,Summer,SolarLeaf,"м²",137.225891,139.571655,142.02095,1,1,1,0.327061,0.558424
1,Summer,WaterIntake,"л/ч",266.878082,269.560669,272.373993,1,1,1,0.016304,0.016304
1,Summer,SnowCollector,"м²",68.606361,70.044395,71.502357,1,1,1,0,0
1,Summer,WaterReservoir,"л",5609.745605,5859.24707,6111.892578,1,1,1,0.384423,1
1,Summer,LiveBiomassHarvester,"кг сух. в-ва/ч",25.613045,26.149912,26.694216,1,1,1,0,0
1,Summer,DryBiomassCollector,"кг/ч",35.649315,36.164368,36.682655,1,1,1,0.161104,0.168478
1,Summer,Dryer,"кг сух. в-ва/ч",29.272058,29.885616,30.507675,1,1,1,0,0
1,Summer,OrganicStorage,"кг",3182.164551,3368.292236,3560.514404,1,1,1,0.255516,1
1,Summer,Furnace,"кВт",77.69883,78.496361,79.30101,1,1,1,0.297853,1
1,Summer,Battery,"кВт·ч",280,280,280,1,1,1,0.555507,0.63587
1,Summer,ElectricMotor,"кВт",119.509369,121.841454,124.211739,1,1,1,0.002169,0.050272
1,Summer,ThermalOrgan,"кВт",60.584961,61.834137,63.067802,1,1,1,0.00004,0
1,Summer,Radiator,"кВт",80.281219,80.281219,80.281219,1,1,1,0.263474,1
1,Summer,GrowthTissue,"кг структуры/сут",2.116098,2.195483,2.347585,1,1,1,0.344518,1
1,Summer,Frame,"кг несущей способности",32345.986328,32452.207031,32565.220703,1,1,1,0.59851,1
1,Autumn,Sail,"м²",190.017029,192.640549,192.949097,0.933282,0.986624,1,0.144291,0.188187
1,Autumn,SolarLeaf,"м²",142.031204,143.151215,143.316254,0.933282,0.986624,1,0.111961,0.377747
1,Autumn,WaterIntake,"л/ч",261.30484,264.192017,266.870972,0.933282,0.986624,1,0.012363,0.012363
1,Autumn,SnowCollector,"м²",65.912697,67.222923,68.602501,0.933282,0.986624,1,0.002678,0.182692
1,Autumn,WaterReservoir,"л",6112.859863,6218.541504,6231.814453,0.933282,0.986624,1,0.306288,0.806319
1,Autumn,LiveBiomassHarvester,"кг сух. в-ва/ч",25.177238,25.38343,25.611605,0.933282,0.986624,1,0.021998,0.021978
1,Autumn,DryBiomassCollector,"кг/ч",36.682655,36.885319,36.918568,0.933282,0.986624,1,0.036605,0.037088
1,Autumn,Dryer,"кг сух. в-ва/ч",28.097549,28.679989,29.270412,0.933282,0.986624,1,0,0
1,Autumn,OrganicStorage,"кг",3560.943848,3639.955811,3649.620605,0.933282,0.986624,1,0.210257,0.806319
1,Autumn,Furnace,"кВт",79.30101,79.650948,79.700638,0.933282,0.986624,1,0.087335,0.276099
1,Autumn,Battery,"кВт·ч",280,280,280,0.933282,0.986624,1,0.228324,0.64011
1,Autumn,ElectricMotor,"кВт",115.200356,117.346085,119.503128,0.933282,0.986624,1,0.002939,0.097527
1,Autumn,ThermalOrgan,"кВт",58.635017,59.524506,60.581581,0.933282,0.986624,1,0.00805,0.385989
1,Autumn,Radiator,"кВт",80.281219,80.408035,80.441109,0.933282,0.986624,1,0.076396,0.346154
1,Autumn,GrowthTissue,"кг структуры/сут",2.347585,2.371452,2.379496,0.933282,0.986624,1,0.085722,0.232143
1,Autumn,Frame,"кг несущей способности",32565.701172,32610.388672,32615.900391,0.933282,0.986624,1,0.518246,0.798077
2,Winter,Sail,"м²",190.373642,199.745361,215.391205,0.946266,0.973662,0.99995,0.05294,0.095833
2,Winter,SolarLeaf,"м²",141.042374,146.62323,154.858475,0.946266,0.973662,0.99995,0.010848,0.168056
2,Winter,WaterIntake,"л/ч",233.980042,248.099945,258.355103,0.946266,0.973662,0.99995,0.005712,0.0125
2,Winter,SnowCollector,"м²",57.536373,62.422379,65.276604,0.946266,0.973662,0.99995,0.009365,0.655556
