year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Winter,Sail,"м²",160,188.519958,234.961197,0.973213,0.993118,1,0.106819,0.268056
1,Winter,SolarLeaf,"м²",134.856857,138.170822,144.340897,0.973213,0.993118,1,0.032391,0.286111
1,Winter,WaterIntake,"л/ч",258.753723,273.180176,280.496002,0.973213,0.993118,1,0.01352,0.015278
1,Winter,SnowCollector,"м²",64.941307,71.654449,75,0.973213,0.993118,1,0,0
1,Winter,WaterReservoir,"л",4800,5349.293457,6113.944336,0.973213,0.993118,1,0.404146,1
1,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",24.429613,26.812805,28,0.973213,0.993118,1,0,0
1,Winter,DryBiomassCollector,"кг/ч",34,35.461124,37.832928,0.973213,0.993118,1,0.186437,0.308333
1,Winter,Dryer,"кг сух. в-ва/ч",27.708302,30.572573,32,0.973213,0.993118,1,0,0
1,Winter,OrganicStorage,"кг",2600,3115.869873,3876.192139,0.973213,0.993118,1,0.280658,1
1,Winter,Furnace,"кВт",75,76.475548,78.796234,0.973213,0.993118,1,0.365711,1
1,Winter,Battery,"кВт·ч",280,280,280,0.973213,0.993118,1,0.278033,0.454167
1,Winter,ElectricMotor,"кВт",112.843193,124.293343,130,0.973213,0.993118,1,0.001309,0.031944
1,Winter,ThermalOrgan,"кВт",56.873138,62.285439,65.009155,0.973213,0.993118,1,0.02331,1
1,Winter,Radiator,"кВт",79.79715,79.952171,80.071251,0.973213,0.993118,1,0.253386,1
1,Winter,GrowthTissue,"кг структуры/сут",1.8,2.059622,2.532308,0.973213,0.993118,1,0.2928,0.783333
1,Winter,Frame,"кг несущей способности",32000,32163.515625,32387.396484,0.973213,0.993118,1,0.627751,1
1,Spring,Sail,"м²",169.986328,181.619934,194.730118,1,1,1,0.145891,0.274457
1,Spring,SolarLeaf,"м²",134.604462,135.652298,137.750397,1,1,1,0.219619,0.509511
1,Spring,WaterIntake,"л/ч",272.999573,276.023621,279.153046,1,1,1,0.013587,0.013587
1,Spring,SnowCollector,"м²",71.506378,73.005188,74.524757,1,1,1,0,0
1,Spring,WaterReservoir,"л",5091.870605,5286.181152,5487.578125,1,1,1,0.391839,1
1,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",26.695717,27.255274,27.82258,1,1,1,0,0
1,Spring,DryBiomassCollector,"кг/ч",34.721703,35.488167,36.214821,1,1,1,0.178312,0.182065
1,Spring,Dryer,"кг сух. в-ва/ч",30.509392,31.148886,31.797241,1,1,1,0,0
1,Spring,OrganicStorage,"кг",2862.198242,3064.759277,3268.439697,1,1,1,0.254904,1
1,Spring,Furnace,"кВт",75.739784,76.378487,76.98391,1,1,1,0.333233,1
1,Spring,Battery,"кВт·ч",280,280,280,1,1,1,0.487934,0.570652
1,Spring,ElectricMotor,"кВт",124.013817,126.577339,129.182434,1,1,1,0.00174,0.028533
1,Spring,ThermalOrgan,"кВт",62.276886,63.490517,64.656487,1,1,1,0.005737,0.277174
1,Spring,Radiator,"кВт",80.071251,80.071251,80.071251,1,1,1,0.266515,1
1,Spring,GrowthTissue,"кг структуры/сут",1.917473,2.070407,2.136969,1,1,1,0.334476,1
1,Spring,Frame,"кг несущей способности",32090.361328,32147.763672,32205.271484,1,1,1,0.597407,1
1,Summer,Sail,"м²",194.787567,208.559601,223.243958,1,1,1,0.157399,0.289402
1,Summer,SolarLeaf,"м²",137.760742,140.240173,142.883072,1,1,1,0.327145,0.558424
1,Summer,WaterIntake,"л/ч",269.603027,271.461487,273.611908,1,1,1,0.016304,0.016304
1,Summer,SnowCollector,"м²",68.606361,70.044395,71.502357,1,1,1,0,0
1,Summer,WaterReservoir,"л",5488.332031,5709.539551,5938.960449,1,1,1,0.386248,1
1,Summer,LiveBiomassHarvester,"кг сух. в-ва/ч",25.613045,26.149912,26.694216,1,1,1,0,0
1,Summer,DryBiomassCollector,"кг/ч",36.214821,36.917446,37.630463,1,1,1,0.155542,0.161685
1,Summer,Dryer,"кг сух. в-ва/ч",29.272058,29.885616,30.507675,1,1,1,0,0
1,Summer,OrganicStorage,"кг",3268.942383,3473.993896,3688.290039,1,1,1,0.255757,1
1,Summer,Furnace,"кВт",76.98391,77.569038,78.163162,1,1,1,0.297022,1
1,Summer,Battery,"кВт·ч",280,280,280,1,1,1,0.559115,0.668478
1,Summer,ElectricMotor,"кВт",119.073952,121.5242,124.006943,1,1,1,0.002286,0.05163
1,Summer,ThermalOrgan,"кВт",59.771381,61.018513,62.273464,1,1,1,0.00004,0
1,Summer,Radiator,"кВт",80.071251,80.071251,80.071251,1,1,1,0.261779,1
1,Summer,GrowthTissue,"кг структуры/сут",2.136969,2.251179,2.469202,1,1,1,0.325279,1
1,Summer,Frame,"кг несущей способности",32205.511719,32266.716797,32334.941406,1,1,1,0.601222,1
1,Autumn,Sail,"м²",223.310333,229.352188,231.67775,0.961876,0.992443,1,0.157745,0.244505
1,Autumn,SolarLeaf,"м²",142.89502,144.1297,144.37175,0.961876,0.992443,1,0.116487,0.401099
1,Autumn,WaterIntake,"л/ч",261.44574,266.069214,269.823029,0.961876,0.992443,1,0.013736,0.013736
1,Autumn,SnowCollector,"м²",65.853577,67.218689,68.602501,0.961876,0.992443,1,0,0
1,Autumn,WaterReservoir,"л",5939.831543,6031.352539,6066.382324,0.961876,0.992443,1,0.37642,0.98489
1,Autumn,LiveBiomassHarvester,"кг сух. в-ва/ч",24.756512,25.184704,25.611605,0.961876,0.992443,1,0.021877,0.03022
1,Autumn,DryBiomassCollector,"кг/ч",37.585205,37.815163,38.017418,0.961876,0.992443,1,0.068223,0.078297
