year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,nitrogen_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,organic_nitrogen_min,organic_nitrogen_mean,organic_nitrogen_max,structural_nitrogen_min,structural_nitrogen_mean,structural_nitrogen_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
1,Winter,2160,0,364.959251,0,0,0,0,1551.250488,2137.607422,2786.724365,321.106079,878.759033,2051.346436,183.416245,275.80304,279.537903,7.523002,10.697245,17.80719,178.884003,179.962021,180.94725,0,0.090175,3.90366,17.999996,17.999998,18,18420.222656,20028.830078,22490.378906,"Travel:446|CollectWater:17|HarvestDryBiomass:236|DryOrganicMatter:3|CollectChitin:18","burn dry organic matter:720|heat caravan:720|reject heat:720|move:372|movement water loss:372|movement organic maintenance:372|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|grow Парус:341|grow Резервуар:352|grow Органическое хранилище:535|grow Каркас:352|capture dust:592|power intake and harvest:630|generate solar electricity:275|grow Солнечный лист:341|harvest dry biomass:235|grow Биореактор / топка:194|grow Сборщик сухой массы:193|grow Тепловой орган:11|withdraw surface water:11|grow Водозабор:9|grow Охлаждающий орган:3|grow Ростовая ткань:11|collect chitin:9|atrophy Парус:183|atrophy Солнечный лист:360|atrophy Водозабор:360|atrophy Снегосборник:360|atrophy Жатка живой массы:360|atrophy Сушильный орган:360|atrophy Электромотор:360|atrophy Тепловой орган:360|spoil wet organic matter:61|atrophy Сборщик сухой массы:94|atrophy Ростовая ткань:247"
1,Spring,2208,0,413.640667,0,0,0,0,1618.171875,2071.001465,2530.275635,590.22229,781.319336,953.66095,241.620956,276.846161,279.520844,7.864395,9.334894,10.586836,179.904465,180.226242,180.634064,0,0.125812,6.060921,18,18,18,18571.363281,19191.564453,19745.962891,"Travel:447|CollectWater:20|HarvestDryBiomass:257|CollectChitin:12","capture dust:553|burn dry organic matter:736|power intake and harvest:602|heat caravan:519|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:447|grow Солнечный лист:447|grow Резервуар:467|grow Органическое хранилище:704|grow Каркас:459|atrophy Парус:281|atrophy Солнечный лист:329|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:338|movement water loss:338|movement organic maintenance:338|grow Сборщик сухой массы:257|grow Биореактор / топка:257|harvest dry biomass:137|generate solar electricity:398|grow Водозабор:20|grow Тепловой орган:20|withdraw surface water:10|grow Ростовая ткань:12|collect chitin:6"
1,Summer,2208,0,503.779248,0,0,0,0,1719.500732,2205.16748,2678.339844,669.404785,888.537231,1089.410156,242.592377,276.305511,279.502777,8.927685,10.590823,12.029153,180.635269,181.111816,181.664963,0,0.159083,5.901409,18,18.423914,24.563765,18815.369141,19384.957031,19980.308594,"Travel:471|CollectWater:25|HarvestDryBiomass:224|CollectChitin:16","burn dry organic matter:736|reject heat:736|spoil wet organic matter:736|move:357|movement water loss:357|movement organic maintenance:357|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:471|grow Солнечный лист:471|grow Резервуар:496|grow Органическое хранилище:695|grow Каркас:487|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|generate solar electricity:438|grow Сборщик сухой массы:224|grow Биореактор / топка:224|grow Водозабор:25|grow Тепловой орган:25|withdraw surface water:12|power intake and harvest:517|harvest dry biomass:119|capture dust:446|grow Ростовая ткань:16|collect chitin:8|heat caravan:29"
1,Autumn,2184,33,390.058545,0,0,0,66,1884.448608,2286.08374,2710.712646,68.573715,1017.917847,1969.869141,0,227.972885,279.712433,10.424717,14.493196,18.284458,180.944595,181.509277,181.955688,0,0.183724,4.542435,7.744367,17.684074,18.000004,19142.832031,21282.998047,22372.806641,"Hibernate:11|Travel:189|CollectWater:21|HarvestLiveBiomass:24|HarvestDryBiomass:96|DryOrganicMatter:383|CollectChitin:4","capture dust:290|burn dry organic matter:334|power intake and harvest:343|reject heat:407|spoil wet organic matter:559|maintain caravan water circuit:728|maintain living structure:728|circulate organic nitrogen:728|maintain electrical systems:700|grow Парус:127|grow Солнечный лист:133|grow Резервуар:132|grow Органическое хранилище:207|grow Каркас:127|atrophy Водозабор:728|atrophy Снегосборник:728|atrophy Жатка живой массы:728|atrophy Сушильный орган:728|atrophy Электромотор:728|atrophy Тепловой орган:728|heat caravan:684|move:253|movement water loss:253|movement organic maintenance:253|grow Сборщик сухой массы:80|grow Биореактор / топка:80|harvest dry biomass:70|generate solar electricity:316|grow Водозабор:5|grow Тепловой орган:5|withdraw surface water:10|harvest live biomass:33|grow Жатка живой массы:18|grow Охлаждающий орган:6|collect chitin:2|atrophy Сборщик сухой массы:512|atrophy Охлаждающий орган:284|atrophy Ростовая ткань:317|atrophy Биореактор / топка:223|enter hibernation:1|hibernate:11|leave hibernation:1|atrophy Солнечный лист:143"
2,Winter,2160,0,534.919019,0,0,0,0,1936.589966,2451.131592,3101.979736,1113.418945,1240.356567,1416.833862,245.885513,276.24942,279.696472,13.454927,14.931941,17.09347,180.37323,182.128448,185.101349,0,0.159676,5.142624,17.999996,17.999996,17.999996,21698.230469,22557.871094,23772.478516,"Travel:433|CollectWater:22|HarvestDryBiomass:213|DryOrganicMatter:38|CollectChitin:14","harvest dry biomass:200|burn dry organic matter:720|power intake and harvest:545|heat caravan:720|reject heat:720|move:378|movement water loss:378|movement organic maintenance:378|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|atrophy Парус:175|atrophy Солнечный лист:720|atrophy Водозабор:720|atrophy Снегосборник:720|atrophy Жатка живой массы:720|atrophy Сушильный орган:720|atrophy Электромотор:720|atrophy Тепловой орган:720|atrophy Ростовая ткань:47|grow Сборщик сухой массы:107|grow Органическое хранилище:228|grow Биореактор / топка:107|grow Парус:121|grow Солнечный лист:128|grow Резервуар:121|grow Каркас:124|capture dust:473|generate solar electricity:276|grow Ростовая ткань:3|collect chitin:6|withdraw surface water:11|spoil wet organic matter:123|grow Охлаждающий орган:7|grow Жатка живой массы:7"
2,Spring,2208,0,774.99642,0,0,0,0,1932.104858,2339.654053,2741.399658,771.059509,1113.737793,1436.102661,237.34935,273.9104,279.395203,11.681845,13.356971,15.098062,180.206863,180.309219,180.694901,0,0.381571,6.541203,17.999996,17.999996,17.999996,21211.888672,21911.876953,22591.175781,"Travel:284|CollectWater:29|HarvestDryBiomass:199|DryOrganicMatter:206|CollectChitin:18","harvest dry biomass:126|burn dry organic matter:736|power intake and harvest:432|heat caravan:477|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Сборщик сухой массы:136|grow Органическое хранилище:263|grow Биореактор / топка:136|atrophy Солнечный лист:285|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:460|movement water loss:460|movement organic maintenance:460|grow Парус:127|grow Солнечный лист:233|grow Резервуар:138|grow Каркас:144|generate solar electricity:394|withdraw surface water:15|capture dust:348|collect chitin:6|grow Охлаждающий орган:106|grow Водозабор:11|grow Тепловой орган:11|grow Жатка живой массы:60|grow Ростовая ткань:17"
2,Summer,2208,0,828.650652,0,0,0,0,2007.646973,2441.046875,2887.713867,700.866333,1118.593628,1563.507568,248.148087,274.335815,279.331085,11.976033,13.228838,14.739929,180.697754,181.862137,183.085449,0,0.371746,3.95594,17.999996,17.999996,17.999996,20779.091797,21340.712891,21925.365234,"Travel:264|CollectWater:28|HarvestDryBiomass:189|DryOrganicMatter:243|CollectChitin:12","capture dust:367|burn dry organic matter:736|power intake and harvest:457|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Парус:264|grow Солнечный лист:507|grow Резервуар:292|grow Органическое хранилище:453|grow Каркас:276|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:463|movement water loss:463|movement organic maintenance:463|grow Жатка живой массы:189|grow Сборщик сухой массы:189|grow Биореактор / топка:189|harvest dry biomass:126|generate solar electricity:440|grow Охлаждающий орган:243|grow Ростовая ткань:12|grow Водозабор:28|grow Тепловой орган:28|withdraw surface water:14|collect chitin:5|heat caravan:21"
2,Autumn,2184,0,652.038988,0,0,0,0,2153.272705,2623.221191,3083.362305,327.422729,1254.120361,2101.451416,225.627975,275.838837,279.696381,13.182273,15.268444,18.926634,183.088867,184.286087,185.045151,0,0.272072,6.143299,17.999996,17.999996,17.999996,20822.224609,21933.625,23711.007813,"Travel:469|CollectWater:24|HarvestLiveBiomass:23|HarvestDryBiomass:164|DryOrganicMatter:34|CollectChitin:14","burn dry organic matter:727|reject heat:727|spoil wet organic matter:609|move:352|movement water loss:352|movement organic maintenance:352|maintain caravan water circuit:728|maintain living structure:728|circulate organic nitrogen:728|maintain electrical systems:728|grow Парус:392|grow Солнечный лист:407|grow Резервуар:412|grow Органическое хранилище:544|grow Каркас:404|atrophy Водозабор:728|atrophy Снегосборник:728|atrophy Жатка живой массы:728|atrophy Сушильный орган:728|atrophy Электромотор:728|atrophy Тепловой орган:728|capture dust:375|power intake and harvest:450|heat caravan:708|generate solar electricity:324|grow Охлаждающий орган:15|grow Жатка живой массы:129|grow Сборщик сухой массы:152|grow Биореактор / топка:152|harvest dry biomass:93|grow Водозабор:20|grow Тепловой орган:20|withdraw surface water:12|grow Ростовая ткань:12|collect chitin:8|harvest live biomass:13|atrophy Сборщик сухой массы:92|atrophy Солнечный лист:199"
3,Winter,2160,0,442.141724,0,0,0,0,2362.648682,3094.507324,4207.114258,513.095947,1565.324585,2841.563477,265.031952,277.956573,279.697418,15.135066,18.489885,24.263416,185.081818,189.649414,198.982193,0,0.136669,2.040137,17.999996,17.999996,17.999996,22956.609375,23567.542969,24383.929688,"Travel:504|CollectWater:26|HarvestDryBiomass:163|DryOrganicMatter:23|CollectChitin:4","capture dust:527|burn dry organic matter:720|power intake and harvest:575|heat caravan:720|reject heat:720|move:364|movement water loss:364|movement organic maintenance:364|maintain caravan water circuit:720|maintain living structure:720|circulate organic nitrogen:720|maintain electrical systems:720|atrophy Солнечный лист:720|atrophy Водозабор:720|atrophy Снегосборник:720|atrophy Жатка живой массы:720|atrophy Сушильный орган:720|atrophy Электромотор:720|atrophy Тепловой орган:720|withdraw surface water:13|generate solar electricity:267|harvest dry biomass:148|grow Жатка живой массы:101|grow Сборщик сухой массы:109|grow Органическое хранилище:426|grow Биореактор / топка:109|grow Парус:317|grow Солнечный лист:317|grow Резервуар:330|grow Каркас:321|atrophy Парус:344|spoil wet organic matter:317|grow Водозабор:13|grow Тепловой орган:13|atrophy Сборщик сухой массы:248|grow Ростовая ткань:4|collect chitin:1"
3,Spring,2208,0,755.497631,0,0,0,0,2436.780029,2899.017334,3376.522705,940.279541,1445.655273,1953.621704,240.971939,274.337128,279.694977,15.379869,16.98357,18.662428,185.322479,186.92421,188.775391,0,0.360057,4.15885,17.999996,17.999996,17.999996,22804.683594,23442.658203,23951.423828,"Travel:341|CollectWater:28|HarvestDryBiomass:149|DryOrganicMatter:195|CollectChitin:23","harvest dry biomass:99|capture dust:412|burn dry organic matter:736|power intake and harvest:472|heat caravan:391|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|circulate organic nitrogen:736|maintain electrical systems:736|grow Жатка живой массы:141|grow Сборщик сухой массы:141|grow Органическое хранилище:481|grow Биореактор / топка:141|atrophy Солнечный лист:276|atrophy Водозабор:736|atrophy Снегосборник:736|atrophy Жатка живой массы:736|atrophy Сушильный орган:736|atrophy Электромотор:736|atrophy Тепловой орган:736|move:430|movement water loss:430|movement organic maintenance:430|grow Парус:340|grow Солнечный лист:528|grow Резервуар:366|grow Каркас:361|generate solar electricity:391|grow Охлаждающий орган:188|collect chitin:10|grow Ростовая ткань:21|grow Водозабор:26|grow Тепловой орган:26|withdraw surface water:14"
