day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,organic_nitrogen_kg,structural_nitrogen_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,mode,hibernation_reason,hibernation_hours,max_ledger_error,actions
1,1,1,12,11,1.25,2710.391113,0,220,886.342163,15.66257,178.902908,261.025482,0.041562,19997.232422,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
2,1,2,12,11,2.25,2624.943848,0,220,713.771667,13.199439,178.924484,279.256866,0.041098,19757.214844,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
3,1,3,12,14,4.151388,2543.581055,0,220,541.359253,10.742562,178.946091,279.512695,0,19521.162109,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
4,1,4,12,13,4.401388,2465.843262,0,220,470.973419,9.533159,178.967728,279.537018,0,19325.421875,0,0,0,4,Active,None,0,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
5,1,5,7,5,7.518292,2383.835693,0,220,503.115021,9.626676,178.989365,277.455414,0,19274.355469,0,0,0,4,Active,None,0,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
6,1,6,5,6,9.268292,2304.000244,0,220,433.415344,8.560962,179.011002,279.536804,0,19124.417969,0,0,0,4,Active,None,0,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
7,1,7,5,5,11.989881,2223.772461,0,220,465.925873,8.776482,179.032608,279.537231,0,19076.699219,0,0,0,4,Active,None,0,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
8,1,8,6,3,14.109558,2140.960205,0,220,498.371246,9.02599,179.054214,277.264404,0.030559,19026.332031,0,0,0,4,Active,None,0,0.001953,"harvest dry biomass|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
9,1,9,6,5,16.41625,2052.743164,0,220,428.952271,8.084896,179.07579,279.514038,0,18877.273438,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
10,1,10,5,6,19.285929,1961.301636,0,220,461.776825,8.394974,179.097412,279.269562,0.03918,18836.402344,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
11,1,11,5,6,21.802053,1868.502441,0,220,494.713745,8.724934,179.118988,277.453186,0.32968,18792.138672,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
12,1,12,5,6,23.464624,1777.861206,0,220,425.673035,7.844515,179.140594,279.514465,0,18595.035156,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
13,1,13,5,6,26.124872,1685.171265,0,220,458.898956,8.203155,179.162247,279.538574,0,18548.769531,0,0,0,4,Active,None,0,0.001953,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
14,1,14,7,5,28.228426,1591.443726,0,220,492.199341,8.571165,179.183868,279.241699,0.043645,18506.044922,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
15,1,15,12,16,33.81451,2331.682861,0,220,526.062439,8.952575,179.205475,277.429443,0,19246.996094,0,0,0,4,Active,None,0,0.001953,"harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Сборщик сухой массы|grow Органическое хранилище|grow Биореактор / топка"
16,1,16,11,16,35.06451,2246.158447,0,220,456.347351,8.09656,179.227036,279.513763,0,19109.757813,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
17,1,17,13,11,40.173035,2159.14502,0,220,489.254333,8.476207,179.248627,277.302856,0.353684,19073.650391,0,0,0,4,Active,None,0,0.001953,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
18,1,18,13,11,43.001465,2074.968506,0,220,484.205811,8.40376,179.270172,278.492554,0.167158,18995.050781,0,0,0,4,Active,None,0,0.001953,"burn dry organic matter|heat caravan|reject heat|move|movement water loss|movement organic maintenance|maintain caravan water circuit|maintain living structure|circulate organic nitrogen|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
