year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Winter,Sail,"м²",160,188.572693,235.1185,0.983717,0.995816,1,0.133037,0.277778
1,Winter,SolarLeaf,"м²",134.795914,138.01828,143.918625,0.983717,0.995816,1,0.029544,0.284722
1,Winter,WaterIntake,"л/ч",258.382355,273.050293,280.417084,0.983717,0.995816,1,0.0125,0.0125
1,Winter,SnowCollector,"м²",64.943092,71.654953,75,0.983717,0.995816,1,0,0
1,Winter,WaterReservoir,"л",4800,5350.674805,6108.970215,0.983717,0.995816,1,0.404332,1
1,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",24.413479,26.807348,28,0.983717,0.995816,1,0,0
1,Winter,DryBiomassCollector,"кг/ч",34,35.466789,37.859737,0.983717,0.995816,1,0.185409,0.301389
1,Winter,Dryer,"кг сух. в-ва/ч",27.709959,30.573038,32,0.983717,0.995816,1,0,0
1,Winter,OrganicStorage,"кг",2600,3116.365967,3875.14624,0.983717,0.995816,1,0.274431,1
1,Winter,Furnace,"кВт",75,76.482452,78.835243,0.983717,0.995816,1,0.365216,1
1,Winter,Battery,"кВт·ч",280,280,280,0.983717,0.995816,1,0.283009,0.463889
1,Winter,ElectricMotor,"кВт",112.802505,124.280014,130,0.983717,0.995816,1,0.001323,0.027778
1,Winter,ThermalOrgan,"кВт",56.873993,62.285751,65.007904,0.983717,0.995816,1,0.023142,1
1,Winter,Radiator,"кВт",79.829323,79.95562,80.048027,0.983717,0.995816,1,0.26043,1
1,Winter,GrowthTissue,"кг структуры/сут",1.8,2.035356,2.447286,0.983717,0.995816,1,0.286774,0.773611
1,Winter,Frame,"кг несущей способности",32000,32163.759766,32384.146484,0.983717,0.995816,1,0.623971,1
1,Spring,Sail,"м²",171.01619,183.251389,196.180573,1,1,1,0.136461,0.25
1,Spring,SolarLeaf,"м²",134.298828,135.24025,137.187408,1,1,1,0.213637,0.5
1,Spring,WaterIntake,"л/ч",272.781586,275.885437,279.133148,1,1,1,0.013587,0.013587
1,Spring,SnowCollector,"м²",71.506378,73.005188,74.524757,1,1,1,0,0
1,Spring,WaterReservoir,"л",5091.666504,5285.525879,5482.419922,1,1,1,0.392957,1
1,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",26.695717,27.255274,27.82258,1,1,1,0,0
1,Spring,DryBiomassCollector,"кг/ч",34.715137,35.465885,36.190392,1,1,1,0.178152,0.179348
1,Spring,Dryer,"кг сух. в-ва/ч",30.509392,31.148886,31.797241,1,1,1,0,0
1,Spring,OrganicStorage,"кг",2861.073242,3061.526367,3262.448242,1,1,1,0.254881,1
1,Spring,Furnace,"кВт",75.725685,76.351082,76.954887,1,1,1,0.333228,1
1,Spring,Battery,"кВт·ч",280,280,280,1,1,1,0.496645,0.585598
1,Spring,ElectricMotor,"кВт",124.00869,126.577141,129.183472,1,1,1,0.00146,0.024457
