day,year,day_of_year,x,y,distance_km,water_l,snow_l,wet_organic_kg,dry_organic_kg,electricity_kwh,heat_kwh,mass_kg,water_deficit_hours,organic_deficit_hours,thermal_deficit_hours,niche_count,operational,failure,max_ledger_error,actions
1,1,1,16.943254,13.997734,1.217391,2637.256348,0,472,1164.421509,253.440903,0,18488.578125,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
2,1,2,18.944811,15.05179,2.280084,2476.466553,0,556,1063.435303,278.907837,0,18513.601563,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
3,1,3,18.003973,14.941081,3.439264,2325.968506,0,640,962.296265,278.681396,0.036241,18548.765625,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
4,1,4,18.058598,15.937431,4.479246,2183.615967,0,724,861.227539,278.576294,0.053054,18540.394531,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
5,1,5,19.910168,18.861954,5.781229,2037.151978,0,808,759.946472,278.931885,0,18567.449219,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
6,1,6,19.993843,18.059084,5.983034,1891.05249,0,892,658.518677,278.907898,0,18589.921875,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
7,1,7,19.138548,18.008236,6.197235,2465.799561,0,976,556.42749,278.911682,0,19336.072266,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
8,1,8,19.021261,17.154722,6.412619,3174.03833,0,1060,452.573792,278.931885,0,20210.458984,0,0,0,4,1,None,0.000977,"burn dry organic matter|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
9,1,9,19.000051,15.050543,6.93871,3009.714844,0,1228,449.304138,274.347839,0,20598.464844,0,0,0,4,1,None,0.000977,"harvest live biomass|harvest dry biomass|capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
10,1,10,18.944439,14.000167,7.648859,2831.26416,0,1312,343.998322,278.907867,0,20550.162109,0,0,0,4,1,None,0.000977,"capture dust|burn dry organic matter|power intake and harvest|heat caravan|reject heat|maintain caravan water circuit|maintain living structure|maintain electrical systems|move|movement water loss|movement organic maintenance|grow Парус|grow Солнечный лист|grow Резервуар|grow Органическое хранилище|grow Каркас"
