year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Winter,Sail,"м²",160.048386,169.467209,178.121582,0.959177,0.989511,1,0.150672,0.288889
1,Winter,SolarLeaf,"м²",135.008713,137.478241,140.516525,0.959177,0.989511,1,0.030649,0.283333
1,Winter,WaterIntake,"л/ч",280,281.881714,285.463074,0.959177,0.989511,1,0.025477,0.030556
1,Winter,SnowCollector,"м²",64.983696,71.741081,75,0.959177,0.989511,1,0,0
1,Winter,WaterReservoir,"л",4800.635254,4977.493164,5156.141602,0.959177,0.989511,1,0.612567,1
1,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,0.959177,0.989511,1,0.022338,0.023611
1,Winter,DryBiomassCollector,"кг/ч",34,34.714603,35.922977,0.959177,0.989511,1,0.20025,0.3125
1,Winter,Dryer,"кг сух. в-ва/ч",30.395586,31.45191,32.028759,0.959177,0.989511,1,0,0
1,Winter,OrganicStorage,"кг",2600.42334,2823.145996,3121.69873,0.959177,0.989511,1,0.610471,1
1,Winter,Furnace,"кВт",75,76.195709,78.21772,0.959177,0.989511,1,0.385543,1
1,Winter,Battery,"кВт·ч",280,280,280,0.959177,0.989511,1,0.274128,0.565278
1,Winter,ElectricMotor,"кВт",130,130,130,0.959177,0.989511,1,0.001402,0.033333
1,Winter,ThermalOrgan,"кВт",58.964901,62.921242,65,0.959177,0.989511,1,0.027533,1
1,Winter,Radiator,"кВт",80,80.47261,81.34346,0.959177,0.989511,1,0.261495,1
1,Winter,GrowthTissue,"кг структуры/сут",1.8,1.858901,1.960804,0.959177,0.989511,1,0.16386,0.531944
1,Winter,Frame,"кг несущей способности",32000.201172,32066.822266,32140.052734,0.959177,0.989511,1,0.754883,1
1,Spring,Sail,"м²",167.501099,169.713821,171.770737,1,1,1,0.280435,0.407609
1,Spring,SolarLeaf,"м²",136.343842,137.143311,138.037872,1,1,1,0.229982,0.504076
1,Spring,WaterIntake,"л/ч",280,281.105225,282.927002,1,1,1,0.024457,0.024457
1,Spring,SnowCollector,"м²",72.68161,74.227699,75.035973,1,1,1,0,0
1,Spring,WaterReservoir,"л",4939.258789,4987.789063,5030.987793,1,1,1,0.497981,1
1,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,1,1,1,0.009511,0.009511
1,Spring,DryBiomassCollector,"кг/ч",34.329311,34.650085,34.958092,1,1,1,0.213315,0.222826
1,Spring,Dryer,"кг сух. в-ва/ч",31.531017,31.903406,32.095741,1,1,1,0,0
1,Spring,OrganicStorage,"кг",2738.113525,2815.637939,2887.269043,1,1,1,0.611543,1
1,Spring,Furnace,"кВт",75.54879,76.096375,76.622505,1,1,1,0.38942,1
1,Spring,Battery,"кВт·ч",280,280,280,1,1,1,0.477167,0.70788
1,Spring,ElectricMotor,"кВт",130,130,130,1,1,1,0.005119,0.180707
1,Spring,ThermalOrgan,"кВт",62.913746,64.301483,65.005241,1,1,1,0.006716,0.327446
1,Spring,Radiator,"кВт",80.063324,80.361839,80.686455,1,1,1,0.316267,1
1,Spring,GrowthTissue,"кг структуры/сут",1.836076,1.860864,1.871158,1,1,1,0.161879,0.476902
1,Spring,Frame,"кг несущей способности",32050.113281,32069.253906,32085.041016,1,1,1,0.736274,1
1,Summer,Sail,"м²",171.808487,173.401794,175.000397,1,1,1,0.312744,0.413043
1,Summer,SolarLeaf,"м²",138.04483,138.973373,139.838577,1,1,1,0.324755,0.559783
1,Summer,WaterIntake,"л/ч",282.927002,283.300018,283.937317,1,1,1,0.025815,0.025815
1,Summer,SnowCollector,"м²",69.2173,70.927727,72.676613,1,1,1,0,0
1,Summer,WaterReservoir,"л",5031.664063,5060.766113,5089.724121,1,1,1,0.484726,1
1,Summer,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,1,1,1,0.019022,0.019022
1,Summer,DryBiomassCollector,"кг/ч",34.958092,35.246334,35.533749,1,1,1,0.194781,0.236413
1,Summer,Dryer,"кг сух. в-ва/ч",30.638618,31.091291,31.528849,1,1,1,0,0
1,Summer,OrganicStorage,"кг",2887.780518,2951.025879,3013.736084,1,1,1,0.607278,1
1,Summer,Furnace,"кВт",76.622505,77.110924,77.596657,1,1,1,0.357078,1
1,Summer,Battery,"кВт·ч",280,280,280,1,1,1,0.53803,0.779891
1,Summer,ElectricMotor,"кВт",130,130,130,1,1,1,0.005633,0.188859
1,Summer,ThermalOrgan,"кВт",59.888523,61.385784,62.90942,1,1,1,0.00004,0
1,Summer,Radiator,"кВт",80.686455,80.973999,81.234245,1,1,1,0.312699,1
1,Summer,GrowthTissue,"кг структуры/сут",1.871158,1.901504,1.940223,1,1,1,0.143835,0.410326
1,Summer,Frame,"кг несущей способности",32085.316406,32099.039063,32113.021484,1,1,1,0.746719,1
1,Autumn,Sail,"м²",175.000397,175.699966,176.585327,0.94305,0.987014,1,0.212702,0.273352
1,Autumn,SolarLeaf,"м²",139.838577,140.149277,140.304733,0.94305,0.987014,1,0.116688,0.385989
1,Autumn,WaterIntake,"л/ч",283.937317,284.933197,285.463074,0.94305,0.987014,1,0.02443,0.024725
1,Autumn,SnowCollector,"м²",66.101212,67.613556,69.21254,0.94305,0.987014,1,0,0
1,Autumn,WaterReservoir,"л",5089.724121,5103.949219,5122.272461,0.94305,0.987014,1,0.466323,0.964286
1,Autumn,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,0.94305,0.987014,1,0.009615,0.009615
1,Autumn,DryBiomassCollector,"кг/ч",35.533749,35.647118,35.748711,0.94305,0.987014,1,0.088416,0.103022
1,Autumn,Dryer,"кг сух. в-ва/ч",30.395586,30.438873,30.636513,0.94305,0.987014,1,0.000237,0.001374
