year,season,hours,hibernation_hours,distance_km,water_scarcity_hours,organic_scarcity_hours,thermal_scarcity_hours,water_min,water_mean,water_max,organic_min,organic_mean,organic_max,electricity_min,electricity_mean,electricity_max,heat_min,heat_mean,heat_max,body_temperature_min,body_temperature_mean,body_temperature_max,total_mass_min,total_mass_mean,total_mass_max,activities,actions
1,Winter,2160,0,372.455501,0,0,0,1539.417725,3017.705078,3707.091553,368.42337,1703.877686,2917.122803,177.995941,273.878601,279.111755,0,0.10269,2.655817,17.999996,17.999998,18,20573.013672,23933.251953,25705.214844,"Travel:451|CollectWater:2|HarvestDryBiomass:221|DryOrganicMatter:33|CollectChitin:13","harvest live biomass:17|harvest dry biomass:237|burn dry organic matter:720|power intake and harvest:608|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|move:384|movement water loss:384|movement organic maintenance:384|grow Парус:240|grow Солнечный лист:247|grow Резервуар:240|grow Органическое хранилище:364|grow Каркас:245|capture dust:560|generate solar electricity:275|withdraw surface water:22|grow Сборщик сухой массы:124|grow Биореактор / топка:124|grow Сушильный орган:7|grow Охлаждающий орган:7|grow Ростовая ткань:5|collect chitin:9|spoil wet organic matter:61|atrophy Снегосборник:248"
1,Spring,2208,0,739.902861,0,0,0,1545.24231,2483.834717,3697.293945,1595.511719,1721.806763,1871.78186,233.050583,273.498535,279.108673,0,0.380264,5.697554,18,18,18,22467.433594,23609.623047,24753.681641,"Travel:267|CollectWater:16|HarvestDryBiomass:250|DryOrganicMatter:194|CollectChitin:9","burn dry organic matter:736|heat caravan:506|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:457|movement water loss:457|movement organic maintenance:457|capture dust:388|power intake and harvest:488|harvest dry biomass:165|generate solar electricity:398|grow Сборщик сухой массы:155|grow Органическое хранилище:271|grow Биореактор / топка:155|grow Парус:116|grow Солнечный лист:183|grow Резервуар:122|grow Каркас:119|grow Сушильный орган:67|grow Охлаждающий орган:67|grow Ростовая ткань:3|collect chitin:6|withdraw surface water:18|grow Водозабор:6|grow Снегосборник:6|grow Тепловой орган:6|harvest live biomass:7|atrophy Снегосборник:478|atrophy Сушильный орган:340|atrophy Тепловой орган:478"
1,Summer,2208,0,805.307552,0,0,0,1573.189819,2453.18457,3449.497559,1647.105103,1792.095581,1946.752686,208.515289,272.739624,279.10965,0,0.418461,7.935329,18,18.380436,24.595673,22825.111328,23967.056641,25145.273438,"Travel:230|CollectWater:18|HarvestDryBiomass:253|DryOrganicMatter:220|CollectChitin:15","capture dust:298|burn dry organic matter:736|power intake and harvest:434|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:467|movement water loss:467|movement organic maintenance:467|grow Парус:83|grow Солнечный лист:146|grow Резервуар:85|grow Органическое хранилище:223|grow Каркас:89|atrophy Снегосборник:718|atrophy Сушильный орган:516|atrophy Тепловой орган:718|generate solar electricity:435|harvest dry biomass:177|grow Сборщик сухой массы:140|grow Биореактор / топка:140|grow Сушильный орган:63|grow Охлаждающий орган:63|harvest live biomass:14|withdraw surface water:19|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2|grow Ростовая ткань:6|collect chitin:8|heat caravan:30"
1,Autumn,2184,78,400.270978,0,0,183,1519.608643,2434.290283,3451.699951,1658.641602,1813.513062,2053.652832,0,211.830963,279.108582,0,0.251607,9.330704,7.292275,17.382935,18.000004,23266.607422,24360.855469,25416.925781,"Hibernate:26|Travel:140|CollectWater:20|HarvestDryBiomass:102|DryOrganicMatter:437|CollectChitin:3","capture dust:201|burn dry organic matter:325|power intake and harvest:254|reject heat:389|spoil wet organic matter:557|maintain caravan water circuit:702|maintain living structure:702|maintain electrical systems:662|atrophy Снегосборник:682|atrophy Сушильный орган:136|atrophy Тепловой орган:228|heat caravan:656|generate solar electricity:304|move:278|movement water loss:278|movement organic maintenance:278|harvest dry biomass:76|grow Сборщик сухой массы:53|grow Органическое хранилище:94|grow Биореактор / топка:53|grow Солнечный лист:53|grow Сушильный орган:12|grow Охлаждающий орган:12|grow Парус:41|grow Резервуар:44|grow Каркас:41|grow Водозабор:3|grow Снегосборник:3|grow Тепловой орган:3|withdraw surface water:18|harvest live biomass:7|collect chitin:2|enter hibernation:2|hibernate:26|leave hibernation:2|dry wet organic matter:1"
2,Winter,2160,0,570.06441,0,0,0,1640.865479,3169.858154,3987.397949,1763.276001,2033.831665,2353.50415,250.340118,274.712158,279.102295,0,0.19584,3.597178,17.999996,17.999996,17.999996,23914.236328,25983.074219,27947.927734,"Travel:420|CollectWater:4|HarvestDryBiomass:250|DryOrganicMatter:36|CollectChitin:10","harvest dry biomass:241|capture dust:480|burn dry organic matter:720|power intake and harvest:567|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|move:383|movement water loss:383|movement organic maintenance:383|atrophy Снегосборник:716|grow Сборщик сухой массы:129|grow Органическое хранилище:250|grow Биореактор / топка:129|grow Парус:121|grow Солнечный лист:128|grow Резервуар:121|grow Каркас:123|generate solar electricity:278|withdraw surface water:20|grow Ростовая ткань:2|collect chitin:6|harvest live biomass:1|grow Сушильный орган:7|grow Охлаждающий орган:7|spoil wet organic matter:122|atrophy Сушильный орган:358"
2,Spring,2208,0,728.826698,0,0,0,1628.706299,2663.376953,3834.116455,1856.309937,1985.012939,2140.963623,235.760925,272.227142,278.80542,0,0.449373,6.013943,17.999996,17.999996,17.999996,23919.837891,25230.898438,26374.544922,"Travel:283|CollectWater:12|HarvestDryBiomass:228|DryOrganicMatter:204|CollectChitin:9","burn dry organic matter:736|heat caravan:480|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|atrophy Снегосборник:724|atrophy Сушильный орган:532|harvest dry biomass:142|power intake and harvest:434|move:451|movement water loss:451|movement organic maintenance:451|generate solar electricity:391|grow Сборщик сухой массы:138|grow Органическое хранилище:220|grow Биореактор / топка:138|grow Парус:82|grow Солнечный лист:144|grow Резервуар:82|grow Каркас:86|capture dust:348|grow Сушильный орган:62|grow Охлаждающий орган:62|withdraw surface water:19|grow Ростовая ткань:4|collect chitin:6|harvest live biomass:9|atrophy Тепловой орган:216"
2,Summer,2208,0,814.026566,0,0,0,1649.786987,2571.474365,3825.882568,1909.265747,2065.480957,2213.161377,235.483078,271.961884,279.05722,0,0.493574,5.956305,17.999996,17.999996,17.999996,24451.535156,25568.224609,27021.263672,"Travel:263|CollectWater:16|HarvestDryBiomass:219|DryOrganicMatter:231|CollectChitin:7","capture dust:358|burn dry organic matter:736|power intake and harvest:454|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|move:460|movement water loss:460|movement organic maintenance:460|atrophy Снегосборник:720|atrophy Сушильный орган:505|atrophy Тепловой орган:720|generate solar electricity:437|harvest dry biomass:144|grow Сборщик сухой массы:127|grow Органическое хранилище:221|grow Биореактор / топка:127|grow Солнечный лист:166|grow Сушильный орган:72|grow Охлаждающий орган:72|grow Парус:94|grow Резервуар:98|grow Каркас:98|collect chitin:5|grow Ростовая ткань:4|harvest live biomass:15|withdraw surface water:19|grow Водозабор:4|grow Снегосборник:4|grow Тепловой орган:4|heat caravan:20"
2,Autumn,2184,0,834.221515,0,0,0,1701.822754,2883.32373,3942.686523,1898.45752,2175.344727,2400.24707,105.730385,263.781464,279.097717,0,0.499832,6.405025,17.999996,17.999996,17.999996,25042.431641,26364.076172,27468.615234,"Travel:330|CollectWater:4|HarvestDryBiomass:188|DryOrganicMatter:195|CollectChitin:11","capture dust:330|burn dry organic matter:669|power intake and harvest:421|reject heat:669|spoil wet organic matter:613|maintain caravan water circuit:728|maintain living structure:728|maintain electrical systems:728|atrophy Снегосборник:724|atrophy Сушильный орган:533|atrophy Тепловой орган:492|heat caravan:705|move:400|movement water loss:400|movement organic maintenance:400|harvest dry biomass:119|generate solar electricity:325|grow Сборщик сухой массы:110|grow Органическое хранилище:227|grow Биореактор / топка:110|grow Солнечный лист:149|grow Сушильный орган:32|grow Охлаждающий орган:32|grow Парус:117|grow Резервуар:117|grow Каркас:120|withdraw surface water:17|harvest live biomass:6|grow Ростовая ткань:3|collect chitin:8"
3,Winter,2160,0,570.439751,0,0,0,1732.246094,3097.535156,4151.82373,2172.937744,2371.726563,2611.593262,245.440689,276.099213,279.104675,0,0.275788,4.828955,17.999996,17.999996,17.999996,25575.626953,27452.675781,29390.458984,"Travel:455|CollectWater:8|HarvestDryBiomass:211|DryOrganicMatter:44|CollectChitin:2","capture dust:492|burn dry organic matter:720|power intake and harvest:559|heat caravan:720|reject heat:720|maintain caravan water circuit:720|maintain living structure:720|maintain electrical systems:720|atrophy Снегосборник:712|atrophy Сушильный орган:676|move:388|movement water loss:388|movement organic maintenance:388|harvest dry biomass:197|generate solar electricity:268|grow Сборщик сухой массы:107|grow Органическое хранилище:261|grow Биореактор / топка:107|grow Парус:154|grow Солнечный лист:166|grow Резервуар:155|grow Каркас:167|withdraw surface water:18|spoil wet organic matter:328|grow Сушильный орган:12|grow Охлаждающий орган:12|atrophy Жатка живой массы:226|grow Водозабор:1|grow Снегосборник:1|grow Тепловой орган:1|collect chitin:2|grow Ростовая ткань:1"
3,Spring,2208,0,810.972028,0,0,0,1749.874512,2844.787842,4050.241943,2189.901367,2332.332031,2480.250732,231.50412,272.366608,279.104736,0,0.518397,6.865143,17.999996,17.999996,17.999996,25724.066406,27064.775391,28514.009766,"Travel:303|CollectWater:10|HarvestDryBiomass:198|DryOrganicMatter:206|CollectChitin:19","burn dry organic matter:736|heat caravan:388|reject heat:736|spoil wet organic matter:736|maintain caravan water circuit:736|maintain living structure:736|maintain electrical systems:736|grow Парус:104|grow Солнечный лист:169|grow Резервуар:106|grow Органическое хранилище:221|grow Каркас:109|atrophy Снегосборник:726|atrophy Жатка живой массы:13|atrophy Сушильный орган:530|generate solar electricity:395|move:442|movement water loss:442|movement organic maintenance:442|capture dust:408|power intake and harvest:478|harvest dry biomass:122|grow Сборщик сухой массы:117|grow Биореактор / топка:117|harvest live biomass:12|withdraw surface water:20|grow Сушильный орган:65|grow Охлаждающий орган:65|collect chitin:10|grow Ростовая ткань:5|grow Водозабор:2|grow Снегосборник:2|grow Тепловой орган:2|atrophy Тепловой орган:250"
