year,season,organ,size_unit,size_min,size_mean,size_max,function_min,function_mean,function_max,mean_usage,active_fraction
1,Winter,Sail,"м²",160.048386,169.152771,178.065002,0.973238,0.993124,1,0.166825,0.266667
1,Winter,SolarLeaf,"м²",135.008713,137.24794,140.03862,0.973238,0.993124,1,0.024971,0.275
1,Winter,WaterIntake,"л/ч",280,282.560028,284.564392,0.973238,0.993124,1,0.024186,0.027778
1,Winter,SnowCollector,"м²",65.15564,71.839478,75.08596,0.973238,0.993124,1,0.002763,0.009722
1,Winter,WaterReservoir,"л",4800.635254,4968.172852,5143.54834,0.973238,0.993124,1,0.601416,1
1,Winter,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,0.973238,0.993124,1,0.022674,0.025
1,Winter,DryBiomassCollector,"кг/ч",34,34.68586,35.842602,0.973238,0.993124,1,0.199051,0.327778
1,Winter,Dryer,"кг сух. в-ва/ч",29.657919,31.281918,32.020031,0.973238,0.993124,1,0,0
1,Winter,OrganicStorage,"кг",2600.42334,2810.801758,3100.2771,0.973238,0.993124,1,0.611499,1
1,Winter,Furnace,"кВт",75,76.145401,78.076546,0.973238,0.993124,1,0.382868,1
1,Winter,Battery,"кВт·ч",280,280,280,0.973238,0.993124,1,0.258811,0.577778
1,Winter,ElectricMotor,"кВт",130,130,130,0.973238,0.993124,1,0.001788,0.05
1,Winter,ThermalOrgan,"кВт",59.03363,62.950344,65.012161,0.973238,0.993124,1,0.027087,1
1,Winter,Radiator,"кВт",80,80.416985,81.201134,0.973238,0.993124,1,0.282248,1
1,Winter,GrowthTissue,"кг структуры/сут",1.8,1.821203,1.85623,0.973238,0.993124,1,0.150902,0.498611
1,Winter,Frame,"кг несущей способности",32000.201172,32060.046875,32126.910156,0.973238,0.993124,1,0.74727,1
1,Spring,Sail,"м²",166.758316,169.009674,171.296082,1,1,1,0.340396,0.419837
1,Spring,SolarLeaf,"м²",136.183472,136.90979,137.81633,1,1,1,0.223048,0.501359
1,Spring,WaterIntake,"л/ч",282.213562,282.638092,282.686249,1,1,1,0.024457,0.024457
1,Spring,SnowCollector,"м²",73.056297,74.538757,75.103645,1,1,1,0,0
1,Spring,WaterReservoir,"л",4927.101563,4972.483398,5014.727539,1,1,1,0.588151,1
1,Spring,LiveBiomassHarvester,"кг сух. в-ва/ч",28,28,28,1,1,1,0.008152,0.008152
1,Spring,DryBiomassCollector,"кг/ч",34.324341,34.637718,34.940716,1,1,1,0.21303,0.222826
1,Spring,Dryer,"кг сух. в-ва/ч",31.518234,31.882322,32.074104,1,1,1,0,0
1,Spring,OrganicStorage,"кг",2726.012939,2800.726074,2872.470703,1,1,1,0.612953,1
1,Spring,Furnace,"кВт",75.539742,76.074066,76.59127,1,1,1,0.388994,1
1,Spring,Battery,"кВт·ч",280,280,280,1,1,1,0.471531,0.735054
1,Spring,ElectricMotor,"кВт",130,130,130,1,1,1,0.006125,0.184783
1,Spring,ThermalOrgan,"кВт",62.869625,64.29789,65.01474,1,1,1,0.007025,0.338315
1,Spring,Radiator,"кВт",80.046997,80.324684,80.659187,1,1,1,0.328796,1
1,Spring,GrowthTissue,"кг структуры/сут",1.811693,1.824625,1.834174,1,1,1,0.154875,0.470109
1,Spring,Frame,"кг несущей способности",32043.058594,32060.488281,32076.732422,1,1,1,0.745812,1
1,Summer,Sail,"м²",171.296082,173.496857,175.550034,1,1,1,0.387676,0.436141
1,Summer,SolarLeaf,"м²",137.81633,138.676468,139.525177,1,1,1,0.31957,0.558424
1,Summer,WaterIntake,"л/ч",282.686249,283.655609,284.091095,1,1,1,0.024966,0.025815
1,Summer,SnowCollector,"м²",69.549431,71.296944,73.051277,1,1,1,0,0
1,Summer,WaterReservoir,"л",5014.727539,5053.227051,5086.602051,1,1,1,0.50372,1
