year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,297.7952082157135,992.33452347633806,790.1203331107447,6.1658221711368286E-07,19.872225284576416,7.9633989466966677E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.232177734375,2.6573872566223145,101.96336364746094,94.999313354492188,93.581451416015625,35.998813629150391,22.609622955322266,0.90018916130065918,0.64797842502593994,18.324058532714844,0.029201671481132507,1.5370835065841675,9.1485553639358841E-06,0,0,0
2,266.35543096065521,737.41752306575654,768.85981418573078,1.7446980561029587E-06,19.872237920761108,1.432212051618704E-06,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-7.8504328727722168,3.1714608669281006,100.61000823974609,94.495918273925781,62.75653076171875,48.947727203369141,26.837244033813477,0.98226231336593628,0.88105899095535278,18.008916854858398,0.049636527895927429,1.5370739698410034,0.0065177585929632187,0,0,0
3,211.60611188411713,494.57113824388784,549.32212407122051,2.0912096588699974E-06,19.872246891260147,1.8836212951131855E-06,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-3.64717698097229,1.7155067920684814,96.006416320800781,82.677085876464844,26.245264053344727,57.062103271484375,30.304317474365234,1.0410710573196411,1.0271174907684326,17.804058074951172,0.06330244243144989,1.5370694398880005,0.0061515700072050095,0,0,0
4,178.40601289272308,328.33500383755563,361.5364275690722,2.3321708799074169E-06,19.872266948223114,2.8929183744214449E-06,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.0164546966552734,0.081194974482059479,91.695457458496094,65.82135009765625,15.937960624694824,71.252471923828125,23.564266204833984,1.3232945203781128,1.2825442552566528,17.266427993774414,0.072209931910037994,1.5370681285858154,1.3701391253562178E-05,0,0,0
5,202.97466266155243,486.13543359652613,461.5678113079789,2.2982659850710413E-06,19.872285664081573,3.8347290219780376E-06,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.4075717926025391,0.088403560221195221,87.167640686035156,64.015335083007812,46.853061676025391,70.163566589355469,43.096519470214844,1.14231276512146,1.2629439830780029,17.467029571533203,0.076354585587978363,1.5370672941207886,0.0036910679191350937,0,0,0
6,231.89697349071503,719.01459642464215,690.0938471825757,2.274676437317401E-06,19.872299820184708,4.5470858015789636E-06,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-6.8277039527893066,2.9957137107849121,96.939277648925781,86.290977478027344,40.278881072998047,69.454055786132812,38.916728973388672,1.0591411590576172,1.2501727342605591,17.562986373901367,0.079591758549213409,1.5370620489120483,0.004314696416258812,0,0,0
7,210.44253313541412,569.59215639253671,591.0480017258219,2.2993973515914122E-06,19.872311592102051,5.1394667025102605E-06,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-4.9375100135803223,1.9306042194366455,93.2489013671875,77.238754272460938,32.054840087890625,68.413619995117188,37.130420684814453,1.0895454883575439,1.2314453125,17.551321029663086,0.081649906933307648,1.53705894947052,1.5367539162980393E-05,0,0,0
8,204.30268561840057,511.90221592264061,518.04347380595846,2.3466729825765041E-06,19.87232169508934,5.6478644883728161E-06,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-7.5589313507080078,0.58965271711349487,92.303504943847656,71.888580322265625,34.454479217529297,73.939659118652344,30.553733825683594,1.2761435508728027,1.3309140205383301,17.265264511108398,0.082836568355560303,1.5370572805404663,0.0034417759161442518,0,0,0
9,292.64348077774048,853.17114722208134,764.83110474703244,2.1308095211613332E-06,19.872342497110367,6.6946540297653345E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-7.8308420181274414,2.5431482791900635,95.776016235351562,82.194488525390625,106.80783843994141,65.611373901367188,44.627887725830078,1.1387345790863037,1.181004524230957,17.552602767944336,0.083173215389251709,1.5370534658432007,0.0052647129632532597,0,0,0
10,391.79303061962128,1256.2755605603197,1157.1283554002857,2.0836507288361101E-06,19.872360646724701,7.6079704061378905E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-9.4970951080322266,3.681396484375,103.91398620605469,104.77532958984375,174.47422790527344,62.733917236328125,43.225776672363281,1.0493037700653076,1.1292105913162231,17.693845748901367,0.084312804043292999,1.5370415449142456,3.205155735486187E-05,0,0,0
11,451.51402258872986,2613.9575424139275,2554.2395130113682,1.8264614425057186E-06,19.872372299432755,8.1943525131357047E-06,-0.10266381502151489,1.5221859216690063,0.97157317399978638,1.1915740966796875,1.2897961139678955,0.63760042190551758,0,0,0,1,0,-7.1054620742797852,3.6932666301727295,110.70736694335938,133.15187072753906,198.72616577148438,54.476390838623047,40.018413543701172,0.98071318864822388,0.98057490587234497,17.911083221435547,0.082818783819675446,1.5370140075683594,0.00084438908379524946,0,0,0
12,300.93569731712341,863.92687408521851,1014.5068120023698,1.8297607880563335E-06,19.872392892837524,9.2306441651446311E-06,1.2918494939804077,0.97341936826705933,0.93442785739898682,1.087633490562439,1.0622619390487671,0.57387399673461914,0,0,0,0,0,-8.0376415252685547,3.6656308174133301,104.61775207519531,105.16184234619141,82.318374633789062,58.912448883056641,34.838863372802734,1.0213053226470947,1.060423731803894,17.790664672851562,0.083243109285831451,1.5370088815689087,0.0082701509818434715,0,0,0
13,325.91033971309662,1051.2871425231606,1026.3134738255376,1.747684878324489E-06,19.872405916452408,9.8860124023774834E-06,0.38415417075157166,1.0172392129898071,1.3274095058441162,1.2876853942871094,0.93925988674163818,-3.8962314128875732,0,0,0,0,0,-8.0765190124511719,3.6667048931121826,101.25981140136719,102.57823181152344,113.34062194824219,56.996841430664062,40.980220794677734,0.96685737371444702,1.0259429216384888,17.879606246948242,0.084526397287845612,1.5370054244995117,1.8038800817521405E-06,0,0,0
