phase,phase_day,world_year,world_day,caravan_x,caravan_y,distance_cells,action_count,nature_surface_water_delta,nature_live_delta,nature_compaction_delta,caravan_surface_water_delta,caravan_live_delta,caravan_dry_delta,caravan_compaction_delta,nearest_harvester_cells,harvester_movement_cells,water_m3,wet_biomass_kg,dry_biomass_kg,chitin_kg,water_error,nitrogen_error
thaw,1,3,66,18,29,0,2,0.0017471313,0.033649445,-4.642352E-07,-0.04499817,-0.41999817,-0.24000168,0,7.017597,23.20603895187378,2.8125,26.25,15,0,2.0665844225353497E-06,-7.11749787384784E-07
thaw,2,3,67,18,29,0,2,0.035888672,0.04076004,-4.6336208E-07,-0.04499817,-0.41999817,-0.24000168,0,5.5926857,22.80132821202278,5.625,52.5,30,0,2.066720203163858E-06,-7.112201254346597E-07
thaw,3,3,68,18,29,0,2,0.04601288,0.04862213,-4.6248897E-07,-0.04499817,-0.41999817,-0.24000168,0,7.3949046,24.329118870198727,8.4375,78.75,45,0,2.063745099931127E-06,-7.121930141538863E-07
thaw,4,3,69,18,29,0,2,0.044815063,0.057247162,-4.6158675E-07,-0.04499817,-0.41999817,-0.23999977,0,5.7242575,23.53847149014473,11.25,105,60,0,2.0616512865170948E-06,-7.122268087047686E-07
thaw,5,3,70,18,29,0,3,0.033966064,0.0666275,-4.6080095E-07,-0.04499817,-0.41999817,-0.23999977,0,3.2681255,23.18782663345337,14.062501,131.25,68.12499,0,2.0593475303674803E-06,-7.141086061231609E-07
thaw,6,3,71,18,29,0,2,0.045143127,0.07675934,-4.5992783E-07,-0.01499939,-0.41999817,-0.23999977,0,4.4776325,21.025314271450043,15,157.5,83.12499,0,2.0556896425404028E-06,-7.153867232989245E-07
thaw,7,3,72,18,29,0,1,0.017684937,0.08763504,-4.5911293E-07,0,-0.41999817,-0.23999977,0,5.7641487,22.736190244555473,15,183.75,98.12499,0,2.0530211489669E-06,-7.194116907553111E-07
thaw,8,3,73,18,29,0,1,0.005065918,0.099121094,-4.5829802E-07,0,-0.41999817,-0.23999977,0,5.8737817,21.125519320368767,15,210.00002,113.125,0,2.047023646811761E-06,-7.255965746716747E-07
thaw,9,3,74,18,29,0,1,-7.6293945E-06,0.11048126,-4.5751221E-07,0,-0.41999817,-0.23999977,0,5.730216,22.44222727417946,15,236.25002,128.125,0,2.045715541900183E-06,-7.303258512492853E-07
thaw,10,3,75,18,29,0,2,-0.0104599,0.122341156,-4.566973E-07,0,-0.41999817,-0.23999977,0,7.004831,23.37677415460348,15,262.50003,136.25,0,2.0450075534939147E-06,-7.30752040237834E-07
thaw,11,3,76,18,29,0,1,0.0058517456,0.13466263,-4.559406E-07,0,-0.41999817,-0.23999977,0,5.872783,23.535276852548122,15,288.75003,151.25,0,2.0465720288213774E-06,-7.343309607068409E-07
thaw,12,3,77,18,29,0,1,-0.0025177002,0.14740372,-4.55213E-07,0,-0.41999817,-0.23999977,0,5.7670507,25.291628628969193,15,315.00003,166.25,0,2.0464714073603816E-06,-7.387785431792414E-07
thaw,13,3,78,18,29,0,1,-0.014434814,0.16052628,-4.544563E-07,0,-0.41999817,-0.23999977,0,6.308972,21.09267483651638,15,341.25003,181.25,0,2.0474125853028273E-06,-7.434374447417304E-07
thaw,14,3,79,18,29,0,1,-0.002960205,0.17397308,-4.5375782E-07,0,-0.41999817,-0.23999977,0,5.9246483,23.226293176412582,15,367.50003,196.25,0,2.045628913074861E-06,-7.48284142188663E-07
growth,1,3,176,19,30,5,2,0,0.15512848,-0.0001014173,0,-0.41999817,-0.23999977,0.0165,7.425141,19.566672906279564,0,26.25,15,0,2.3826359960795457E-06,-9.26990170769287E-07
growth,2,3,177,18,29,1.4142135,3,0,0.05714798,-1.1265278E-05,-0.04499817,-0.41999817,-0.23999977,0.007535534,5.9570208,15.045436605811119,2.8125,52.5,30,0,2.387478190298974E-06,-9.332454871125537E-07
growth,3,3,178,18,29,0,2,-0.59197235,0.104660034,-8.649193E-06,-0.04499817,-0.41999817,-0.23999977,0,3.7155023,18.522999718785286,5.625,78.75,45,0,2.3929956120746134E-06,-9.353687776515538E-07
growth,4,3,179,18,29,0,2,-0.49951935,0.10875702,-8.634292E-06,-0.04499817,-0.41999817,-0.23999977,0,6.258021,21.71355614066124,8.4375,105,60,0,2.397791174096165E-06,-9.384781285308673E-07
