year,day,elapsed_hours,region_x,region_y,temperature_c,snow_mm,surface_water_mean_mm,surface_water_max_mm,flooded_fraction,root_water_mm,water_stress_fraction,live_biomass_gm2,dust_gm2,burning_fraction,burn_scar
1,15,360,0,0,-8.236088752746582,61.703506469726562,0.0019401998724788427,0.012832945212721825,0,50.395771026611328,0,24.326972961425781,0.0001779165759216994,0,0
1,15,360,1,0,-8.3308591842651367,38.477634429931641,0.005391211248934269,0.024771900847554207,0,54.902961730957031,0,22.860448837280273,0.0027761829551309347,0,0
1,15,360,2,0,-8.5979557037353516,40.720020294189453,0.0016287229955196381,0.014658506959676743,0,54.628837585449219,0,24.837116241455078,0.0050557986833155155,0,0
1,15,360,3,0,-9.1268301010131836,48.363723754882812,0,0,0,50.135787963867188,0,25.949710845947266,0.0027416462544351816,0,0
1,15,360,4,0,-9.1866674423217773,41.361171722412109,0,0,0,46.892387390136719,0,19.310358047485352,4.3138763430761173E-05,0,0
1,15,360,5,0,-8.6525974273681641,33.910243988037109,0,0,0,50.519012451171875,0,17.944944381713867,1.2601450993798835E-09,0,0
1,15,360,6,0,-8.2118701934814453,35.496288299560547,0.0088542010635137558,0.035166427493095398,0,51.525688171386719,0,18.394044876098633,1.22217889718907E-18,0,0
1,15,360,7,0,-8.114654541015625,45.108566284179688,0.0047341552563011646,0.042607396841049194,0,56.559352874755859,0,27.129711151123047,2.7970158043899573E-05,0,0
1,15,360,0,1,-8.3049726486206055,74.044731140136719,0.0038936315104365349,0.013607019558548927,0,53.07183837890625,0,25.748947143554688,0.00017007348651532084,0,0
1,15,360,1,1,-8.6147842407226562,13.344025611877441,0.022166190668940544,0.054700478911399841,0,54.678565979003906,0,18.012466430664062,0.014128849841654301,0,0
1,15,360,2,1,-8.8635854721069336,11.670918464660645,0.023263612762093544,0.086348533630371094,0,53.643154144287109,0,18.032268524169922,0.040888339281082153,0,0
1,15,360,3,1,-9.1883134841918945,12.844794273376465,0.032116439193487167,0.07782059907913208,0,52.779426574707031,0,25.489974975585938,0.045535646378993988,0,0
1,15,360,4,1,-9.340794563293457,10.932944297790527,0.002597864018753171,0.02299114316701889,0,48.603115081787109,0,11.218171119689941,0.020152656361460686,0,0
1,15,360,5,1,-9.2566957473754883,11.552911758422852,0.0039895046502351761,0.032863214612007141,0,47.292034149169922,0,19.623035430908203,0.00061187875689938664,0,0
1,15,360,6,1,-8.8012180328369141,7.5869464874267578,0,0,0,50.399658203125,0,12.897143363952637,0.0014032936887815595,0,0
1,15,360,7,1,-8.6926021575927734,51.874443054199219,0,0,0,54.009246826171875,0,26.947662353515625,0.00038319898885674775,0,0
1,15,360,0,2,-8.5202341079711914,96.961326599121094,0.031128155067563057,0.11981046199798584,0,53.123134613037109,0,24.306798934936523,0.00061563868075609207,0,0
1,15,360,1,2,-9.3196287155151367,21.813192367553711,0.037858657538890839,0.23457857966423035,0,52.817359924316406,0,24.41560173034668,0.013329087756574154,0,0
1,15,360,2,2,-9.3669214248657227,14.303747177124023,0.014541151933372021,0.053358271718025208,0,53.150318145751953,0,24.601047515869141,0.024192463606595993,0,0
1,15,360,3,2,-9.4393768310546875,14.041654586791992,0.045574046671390533,0.20073811709880829,0,53.032630920410156,0,24.26542854309082,0.054548889398574829,0,0
1,15,360,4,2,-9.416285514831543,11.663013458251953,0.013082070276141167,0.03465062752366066,0,51.233997344970703,0,23.71772575378418,0.0620865598320961,0,0
1,15,360,5,2,-9.1926603317260742,8.3820905685424805,0.036047611385583878,0.097023814916610718,0,48.873966217041016,0,21.720535278320312,0.014147191308438778,0,0
1,15,360,6,2,-9.1265020370483398,9.308751106262207,0.020075008273124695,0.061900954693555832,0,48.542526245117188,0,17.873098373413086,0.0020645756740123034,0,0
1,15,360,7,2,-8.6836462020874023,48.545848846435547,0,0,0,49.284816741943359,0,23.332241058349609,7.3699804488569498E-05,0,0
1,15,360,0,3,-8.4820232391357422,102.56128692626953,0.0073467330075800419,0.018780220299959183,0,48.563468933105469,0,24.663087844848633,2.3893788238638081E-05,0,0
1,15,360,1,3,-8.8959074020385742,16.075748443603516,0.011599243618547916,0.04979720339179039,0,47.979164123535156,0,24.157236099243164,0.016400367021560669,0,0
1,15,360,2,3,-8.6303567886352539,5.3210568428039551,0.041946820914745331,0.062396030873060226,0,51.306739807128906,0,22.953330993652344,0.028847644105553627,0,0
1,15,360,3,3,-8.8597688674926758,9.7435779571533203,0.023553162813186646,0.057664908468723297,0,48.819896697998047,0,21.914794921875,0.14072005450725555,0,0
1,15,360,4,3,-8.8802852630615234,9.5960273742675781,0.027923412621021271,0.04372718557715416,0,50.405670166015625,0,25.744575500488281,0.20966783165931702,0,0
1,15,360,5,3,-9.0880289077758789,11.431056022644043,0.077619545161724091,0.27852886915206909,0,49.827663421630859,0,25.060817718505859,0.20067593455314636,0,0
1,15,360,6,3,-9.2356901168823242,8.3093242645263672,0.033810701221227646,0.060391757637262344,0,51.398277282714844,0,23.480968475341797,0.18038733303546906,0,0
1,15,360,7,3,-9.1479330062866211,67.820198059082031,0,0,0,49.456081390380859,0.1111111119389534,23.72209358215332,0.00072005827678367496,0,0
1,15,360,0,4,-8.5128068923950195,100.46800231933594,0.0078729363158345222,0.019178997725248337,0,49.494853973388672,0,24.951299667358398,0,0,0
1,15,360,1,4,-9.0687837600708008,16.944774627685547,0.0024716120678931475,0.01638726145029068,0,46.218921661376953,0,23.20557975769043,0.032280921936035156,0,0
1,15,360,2,4,-8.7370214462280273,6.6883087158203125,0.0041754213161766529,0.021077100187540054,0,49.202739715576172,0,10.648442268371582,0.0504588782787323,0,0
1,15,360,3,4,-8.7886142730712891,8.3769330978393555,0.056648466736078262,0.14009135961532593,0,51.473030090332031,0,22.622539520263672,0.13693326711654663,0,0
1,15,360,4,4,-8.7317686080932617,8.4826021194458008,0.033294752240180969,0.06513599306344986,0,54.162132263183594,0,23.411884307861328,0.1835620254278183,0,0
1,15,360,5,4,-8.7397050857543945,7.3535475730895996,0.036818388849496841,0.13877382874488831,0,51.761451721191406,0,21.915502548217773,0.19054146111011505,0,0
1,15,360,6,4,-8.9531278610229492,8.8406534194946289,0.032108493149280548,0.061294920742511749,0,52.195358276367188,0,25.491384506225586,0.17018647491931915,0,0
1,15,360,7,4,-8.9031152725219727,70.144668579101562,0,0,0,51.707279205322266,0,25.505237579345703,0.014091343618929386,0,0
1,15,360,0,5,-8.4930753707885742,87.122024536132812,0.0039795325137674809,0.017801109701395035,0,54.987987518310547,0,26.657936096191406,0,0,0
1,15,360,1,5,-9.0064582824707031,16.459890365600586,0.0064528626389801502,0.046668007969856262,0,49.690433502197266,0,24.014945983886719,0.045249398797750473,0,0
1,15,360,2,5,-8.8803339004516602,10.171055793762207,0.022525740787386894,0.055265817791223526,0,48.512138366699219,0,23.524501800537109,0.10382435470819473,0,0
1,15,360,3,5,-8.7543067932128906,8.5681209564208984,0.041738193482160568,0.088987179100513458,0,51.950241088867188,0,25.386913299560547,0.13600169122219086,0,0
1,15,360,4,5,-8.73138427734375,6.4153242111206055,0.017874343320727348,0.047296494245529175,0,50.665111541748047,0,17.614019393920898,0.13959546387195587,0,0
1,15,360,5,5,-8.6250505447387695,4.2345056533813477,0.0087798703461885452,0.036117792129516602,0,52.278038024902344,0,14.473736763000488,0.17018024623394012,0,0
1,15,360,6,5,-8.9074983596801758,10.258205413818359,0.025833144783973694,0.054345220327377319,0,49.66461181640625,0,23.930845260620117,0.24304957687854767,0,0
1,15,360,7,5,-8.8889703750610352,57.766769409179688,0,0,0,47.805648803710938,0,24.120882034301758,0.010131223127245903,0,0
1,15,360,0,6,-8.5310277938842773,64.058624267578125,0.0068349703215062618,0.019894169643521309,0,56.404045104980469,0,21.395883560180664,0,0,0
1,15,360,1,6,-8.970158576965332,17.829248428344727,0.00036477381945587695,0.0032829642295837402,0,50.669414520263672,0,16.516328811645508,0.014077512547373772,0,0
1,15,360,2,6,-8.8062868118286133,9.8849716186523438,0.018415385857224464,0.059746783226728439,0,49.93927001953125,0,24.834421157836914,0.043611377477645874,0,0
1,15,360,3,6,-8.6029348373413086,6.7899327278137207,0.041155386716127396,0.083577737212181091,0,52.773796081542969,0,26.157567977905273,0.064212962985038757,0,0
1,15,360,4,6,-8.8806209564208984,13.542376518249512,0.020879730582237244,0.09909684956073761,0,51.372173309326172,0,22.726743698120117,0.075561597943305969,0,0
1,15,360,5,6,-8.7546367645263672,7.1381282806396484,0.049062792211771011,0.11380000412464142,0,50.329448699951172,0,17.016307830810547,0.087640441954135895,0,0
1,15,360,6,6,-8.9646482467651367,9.0761260986328125,0.021855767816305161,0.060064941644668579,0,46.663524627685547,0,22.474447250366211,0.11977076530456543,0,0
1,15,360,7,6,-8.9535293579101562,42.363868713378906,0,0,0,45.333072662353516,0,20.965576171875,0.0094927800819277763,0,0
1,15,360,0,7,-8.4905643463134766,42.488029479980469,0.0014832584420219064,0.013349326327443123,0,57.742656707763672,0,18.762197494506836,0,0,0
1,15,360,1,7,-8.5786848068237305,23.557201385498047,0,0,0,56.227130889892578,0,10.049291610717773,0,0,0
1,15,360,2,7,-8.4784107208251953,25.462730407714844,0,0,0,55.573200225830078,0,25.581226348876953,0,0,0
1,15,360,3,7,-8.4686908721923828,25.328697204589844,0,0,0,53.582244873046875,0,27.055303573608398,0,0,0
1,15,360,4,7,-8.3769330978393555,24.306354522705078,0.0060288500972092152,0.033302102237939835,0,51.541213989257812,0,18.272588729858398,0,0,0
1,15,360,5,7,-8.56439208984375,26.987844467163086,0.0026401514187455177,0.011146865785121918,0,53.900524139404297,0,21.056587219238281,0,0,0
1,15,360,6,7,-8.7690391540527344,27.847793579101562,0,0,0,51.352928161621094,0,25.030561447143555,0,0,0
1,15,360,7,7,-8.7874536514282227,31.160209655761719,0,0,0,50.568096160888672,0,11.88682746887207,0.00088775699259713292,0,0
1,30,720,0,0,-6.3968377113342285,121.58168029785156,0,0,0,51.215038299560547,0,21.525762557983398,0.00033467772300355136,0,0
1,30,720,1,0,-6.5354046821594238,74.412010192871094,0,0,0,55.388248443603516,0,20.045999526977539,0.0023312564007937908,0,0
1,30,720,2,0,-6.7575564384460449,73.606132507324219,0.0018958544824272394,0.017062690109014511,0,55.052154541015625,0,21.389562606811523,0.0016191031318157911,0,0
1,30,720,3,0,-7.2861466407775879,93.516815185546875,0.0063373693265020847,0.017869720235466957,0,50.259670257568359,0,22.874074935913086,4.2867934098467231E-05,0,0
1,30,720,4,0,-7.3698129653930664,83.760017395019531,0,0,0,46.932476043701172,0,17.010541915893555,1.1368393205979377E-12,0,0
1,30,720,5,0,-6.8466696739196777,65.634674072265625,0,0,0,50.660736083984375,0,15.847017288208008,1.1838326271964433E-13,0,0
1,30,720,6,0,-6.4426889419555664,68.642906188964844,0,0,0,51.983646392822266,0,16.271739959716797,6.8420399215534354E-16,0,0
1,30,720,7,0,-6.3419294357299805,92.750823974609375,0,0,0,57.054145812988281,0,24.036283493041992,0.00077907438389956951,0,0
1,30,720,0,1,-6.447688102722168,137.33175659179688,0,0,0,53.972602844238281,0,22.804880142211914,0.00022671048645861447,0,0
1,30,720,1,1,-6.7215604782104492,22.607887268066406,0,0,0,55.56463623046875,0,13.612322807312012,0.0074951206333935261,0,0
1,30,720,2,1,-6.8997092247009277,11.792566299438477,0.00084976415382698178,0.0076478775590658188,0,54.544898986816406,0,14.168854713439941,0.0087476028129458427,0,0
1,30,720,3,1,-7.234163761138916,13.249043464660645,0.001321410178206861,0.011892691254615784,0,53.432903289794922,0,22.501028060913086,0.0012002119328826666,0,0
1,30,720,4,1,-7.4154019355773926,12.818509101867676,0,0,0,49.122116088867188,0,8.7351856231689453,0.002216927008703351,0,0
1,30,720,5,1,-7.4371404647827148,14.189526557922363,0.0065368935465812683,0.040333181619644165,0,47.329067230224609,0,17.269327163696289,0.001090448466129601,0,0
1,30,720,6,1,-6.8097295761108398,6.5934100151062012,0,0,0,51.345123291015625,0,10.837021827697754,1.5677156852689222E-06,0,0
1,30,720,7,1,-6.9109001159667969,100.57180023193359,0.00044274042011238635,0.0039846636354923248,0,54.065067291259766,0,23.791994094848633,5.6570788729004562E-05,0,0
1,30,720,0,2,-6.7015600204467773,177.84925842285156,0.0021922427695244551,0.019730184227228165,0,53.913497924804688,0,21.515901565551758,0.00014780469064135104,0,0
1,30,720,1,2,-7.5088543891906738,43.341629028320312,0.0019461713964119554,0.017515541985630989,0,53.094108581542969,0,20.105564117431641,0.0015416819369420409,0,0
1,30,720,2,2,-7.5193080902099609,17.500553131103516,0.047968547791242599,0.29867622256278992,0,53.315750122070312,0,21.169031143188477,0.00088734441669657826,0,0
1,30,720,3,2,-7.5492949485778809,16.696861267089844,0.090356200933456421,0.52065366506576538,0,53.328857421875,0,21.401161193847656,0.0066506611183285713,0,0
1,30,720,4,2,-7.5436806678771973,12.892528533935547,0.023641657084226608,0.11292855441570282,0,51.370376586914062,0,20.917036056518555,0.0085770683363080025,0,0
1,30,720,5,2,-7.1901330947875977,7.5558695793151855,0.051629398018121719,0.370992511510849,0,49.650634765625,0,18.977006912231445,0.0064233345910906792,0,0
1,30,720,6,2,-7.1910214424133301,9.7627267837524414,0.0026046708226203918,0.023442037403583527,0,49.178413391113281,0,15.560541152954102,0.0051056547090411186,0,0
1,30,720,7,2,-6.8851609230041504,94.568252563476562,0,0,0,49.394088745117188,0,20.598024368286133,2.6409827114548534E-05,0,0
1,30,720,0,3,-6.624396800994873,186.37129211425781,0.00061546079814434052,0.0055391471832990646,0,49.402149200439453,0,21.797103881835938,0,0,0
1,30,720,1,3,-7.0658698081970215,37.627735137939453,0,0,0,48.352386474609375,0,21.280620574951172,0.0025370351504534483,0,0
1,30,720,2,3,-6.5785484313964844,3.0985987186431885,0,0,0,52.953399658203125,0,17.899745941162109,0.011012019589543343,0,0
1,30,720,3,3,-6.7988147735595703,6.0401268005371094,0,0,0,49.877330780029297,0,17.336755752563477,0.051703978329896927,0,0
1,30,720,4,3,-6.9558324813842773,9.4008817672729492,0,0,0,51.158451080322266,0,22.730852127075195,0.035776223987340927,0,0
1,30,720,5,3,-7.1911740303039551,13.448637008666992,0.0063037695363163948,0.054458297789096832,0,50.553897857666016,0,22.107585906982422,0.023582339286804199,0,0
1,30,720,6,3,-7.2667856216430664,7.2247724533081055,0.062822058796882629,0.31184655427932739,0,52.029685974121094,0,20.736232757568359,0.048707496374845505,0,0
1,30,720,7,3,-7.373344898223877,132.46414184570312,0.0011323407525196671,0.010191066190600395,0,49.455699920654297,0.1111111119389534,20.92808723449707,0.00014332916180137545,0,0
