year,day,elapsed_hours,temperature_c,precipitation_mm_h,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,soil_compaction,dust_gm2,fire_intensity,burn_scar,climate_temperature_offset_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,heatwave,cold_snap,rain_burst,wind_storm
1,15,360,-8.8047771453857422,0.054103773087263107,0.015655888244509697,51.306175231933594,29.516796112060547,28.45294189453125,21.904842376708984,21.72557258605957,0.00040403660386800766,0.048811551183462143,0,0,0,1,1,1,1,0,0,0,0,0
1,30,720,-6.9114837646484375,0.061599612236022949,0.0049016815610229969,51.937469482421875,29.517335891723633,49.795047760009766,18.308963775634766,21.038825988769531,0.00072733144043013453,0.0092520024627447128,0,0,0,1,1,1,1,0,0,0,0,0
1,45,1080,-4.2433128356933594,0.21548168361186981,0,54.926860809326172,29.544282913208008,67.336151123046875,16.486059188842773,20.262241363525391,0.0011944951256737113,0.021621081978082657,0,0,0,1,1,1,1,0,0,0,0,0
1,60,1440,-0.82652878761291504,0.049988802522420883,0.0027396851219236851,68.279098510742188,34.783065795898438,63.779586791992188,15.805506706237793,18.828681945800781,0.0019451533444225788,0.047583907842636108,0,0,0,1,1,1,1,0,0,0,0,0
1,75,1800,3.7871456146240234,0.014544280245900154,0.15529653429985046,83.77850341796875,68.831924438476562,18.773368835449219,15.823561668395996,17.001976013183594,0.0029653490055352449,0.015644485130906105,0,0,0,1,1,1,1,0,0,0,0,0
1,90,2160,9.0670347213745117,0.0017077220836654305,0.13699021935462952,81.658256530761719,81.214797973632812,0.23000466823577881,17.8194580078125,15.460990905761719,0.0040779807604849339,0.0035011076834052801,0,0,0,1,1,1,1,0,0,0,0,0
1,105,2520,13.138107299804688,0.0025213130284100771,0.21091315150260925,81.663177490234375,79.613838195800781,0,21.488039016723633,14.045055389404297,0.0052011213265359402,0.016923138871788979,0,0,0,1,1,1,1,0,0,0,0,0
1,120,2880,17.512088775634766,0,0.23020349442958832,81.324371337890625,77.233070373535156,0,25.707304000854492,12.809245109558105,0.0063036172650754452,0.015254898928105831,0,0,0,1,1,1,1,0,0,0,0,0
1,135,3240,20.660999298095703,0,0.26311182975769043,81.086845397949219,74.6146240234375,0,28.981634140014648,12.024260520935059,0.0074020926840603352,0.00061696709599345922,0,0,0,1,1,1,1,0,0,0,0,0
1,150,3600,22.865695953369141,0,0.29722562432289124,80.687057495117188,71.993827819824219,0,30.87451171875,11.916777610778809,0.0084924213588237762,0.0012625206727534533,0,0,0,1,1,1,1,0,0,0,0,0
1,165,3960,23.910032272338867,0,0.33090725541114807,80.134834289550781,69.565940856933594,0,32.205436706542969,12.129949569702148,0.0095748621970415115,0.0041179223917424679,0,0,0,1,1,1,1,0,0,0,0,0
1,180,4320,23.779270172119141,0,0.34132808446884155,79.46551513671875,67.35595703125,0,33.510852813720703,12.440835952758789,0.010618492029607296,0.00075511803152039647,0,0,0,1,1,1,1,0,0,0,0,0
1,195,4680,22.417036056518555,0,0.35915803909301758,78.722869873046875,65.360420227050781,0,35.132663726806641,12.680068969726562,0.011687902733683586,0.00018712677410803735,0,0,0,1,1,1,1,0,0,0,0,0
1,210,5040,19.961751937866211,0,0.3934769332408905,77.939918518066406,63.522190093994141,0,37.8831787109375,12.576111793518066,0.012733050622045994,0.00094439071835950017,0,0,0,1,1,1,1,0,0,0,0,0
1,225,5400,16.619216918945312,0,0.46149894595146179,77.214118957519531,61.745182037353516,0,42.637535095214844,11.805023193359375,0.013768604956567287,0.0020399696659296751,0,0,0,1,1,1,1,0,0,0,0,0
1,240,5760,12.66579532623291,0.00017568004841450602,0.53055375814437866,76.546356201171875,60.070781707763672,0,48.156703948974609,10.791570663452148,0.0147884301841259,0.00026581063866615295,0,0,0,1,1,1,1,0,0,0,0,0
1,255,6120,8.4274463653564453,0,0.59121036529541016,75.984832763671875,58.580608367919922,0,52.905117034912109,9.8660898208618164,0.015778170898556709,0.00083872320828959346,0,0,0,1,1,1,1,0,0,0,0,0
1,270,6480,3.3705074787139893,0,0.66393578052520752,75.620872497558594,57.272052764892578,0,55.468357086181641,9.0194168090820312,0.016717098653316498,0.0075788446702063084,0,0,0,1,1,1,1,0,0,0,0,0
1,285,6840,-0.58239036798477173,2.9596927220154612E-07,0.74379748106002808,75.576057434082031,56.144874572753906,0,55.927047729492188,8.2510271072387695,0.017636002972722054,0.011095869354903698,0,0,0,1,1,1,1,0,0,0,0,0
1,300,7200,-4.0568442344665527,0.06494767963886261,0.82067221403121948,75.673164367675781,55.113922119140625,0.95292103290557861,55.081974029541016,8.3172235488891602,0.017973748967051506,0.0018004848388954997,0,0,0,1,1,1,1,0,0,0,0,0
1,315,7560,-6.7315077781677246,0.00067057262640446424,0.85764306783676147,76.563957214355469,54.248023986816406,1.7986412048339844,51.091453552246094,11.250494003295898,0.01798655092716217,0.0069598881527781487,0,0,0,1,1,1,1,0,0,0,0,0
