year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,123.43263464979827,119.05218525170508,92.466436557099854,1.9128756683452455E-07,19.834488739725202,-3.0725052635780181E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6661529541015625,0.12228249758481979,68.892189025878906,39.21087646484375,10.893847465515137,35.578933715820312,23.463930130004883,0.81729018688201904,0.64042085409164429,18.376777648925781,0.0025647648144513369,1.5233174562454224,0.078763268887996674,0,5.7431872846791521E-05,0
2,121.84943835623562,93.057595340218143,94.6410684214014,1.0295504116924372E-06,19.834482819773257,-5.3520588822996018E-07,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.2322931289672852,0.16192309558391571,68.86602783203125,41.190570831298828,7.0463104248046875,44.212665557861328,26.692760467529297,0.8823392391204834,0.79582798480987549,18.156314849853516,0.0044082105159759521,1.5233172178268433,0.11940216273069382,0,2.6465842893230729E-05,0
3,111.29851284250617,64.079648227476952,74.631136180725036,2.360429807929421E-06,19.834483405109495,-5.1822101814355883E-07,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-4.0362520217895508,0.12471103668212891,65.460357666015625,38.329505920410156,2.4640424251556396,48.50982666015625,29.107370376586914,0.89947569370269775,0.8731769323348999,18.061830520629883,0.0057140486314892769,1.5233169794082642,0.49573567509651184,0,1.2716982382698916E-05,0
4,99.249253642745316,46.303189796517756,58.353139385989095,3.7461669778880372E-06,19.834487764630467,-3.4165980292938316E-07,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.4586191177368164,0.056748490780591965,59.46478271484375,33.757095336914062,1.4262931346893311,55.675338745117188,22.349590301513672,1.0422606468200684,1.0021560192108154,17.790071487426758,0.0067925606854259968,1.5233168601989746,0.087473757565021515,0,6.3432321439904626E-06,0
5,96.209514512680471,60.792412101326079,63.832759138707615,4.5379677506977693E-06,19.834492924623191,-1.7989262219992433E-08,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.7903175354003906,0.065600559115409851,54.561679840087891,31.469264984130859,5.599609375,47.014019012451172,33.832130432128906,0.89964061975479126,0.84625232219696045,18.088600158691406,0.0073253815062344074,1.5233168601989746,0.10639919340610504,0,3.2053421819000505E-06,0
6,101.87937492411584,88.996141262760602,83.326864515663829,4.85389442158566E-06,19.834503870923072,3.6637186808655773E-07,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.3104352951049805,0.037201132625341415,57.546512603759766,34.864612579345703,4.7048273086547852,42.66326904296875,28.431726455688477,0.86242544651031494,0.76793879270553589,18.204139709472656,0.0078114299103617668,1.5233166217803955,0.46218636631965637,0,1.6914423213165719E-06,0
7,99.003131985664368,71.070809141919881,73.947790013257361,5.4677079216366931E-06,19.834508612751961,7.824037903212346E-07,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.3812274932861328,0.018769877031445503,57.095035552978516,33.704280853271484,3.1734552383422852,40.139320373535156,25.744449615478516,0.89149600267410278,0.72250771522521973,18.220504760742188,0.0081102456897497177,1.5233163833618164,0.12463264912366867,0,9.1344361408118857E-07,0
8,96.911984752863646,65.206140661501649,67.298007887436029,5.9829651414112944E-06,19.83451436413452,9.824249058604323E-07,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-8.0117044448852539,0.02950655110180378,56.255641937255859,32.44268798828125,3.54117751121521,42.388149261474609,21.093709945678711,1.0028979778289795,0.76298671960830688,18.068630218505859,0.0082969721406698227,1.5233162641525269,0.15115107595920563,0,8.3433646068442613E-05,0
9,108.57912623416632,103.91572807764783,92.249299857231563,6.0960682763010123E-06,19.834521455224603,1.3716731885544797E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.3168010711669922,0.048605654388666153,57.408878326416016,33.915866851806641,12.524665832519531,37.842903137207031,28.684782028198242,0.94525474309921265,0.68117219209671021,18.208093643188477,0.0082358289510011673,1.5233159065246582,0.61981022357940674,0,4.0222745155915618E-05,0
10,130.92295864457265,155.74813633319604,133.40492722202828,5.7581109990449958E-06,19.834524448029697,1.501913165138452E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-10.006003379821777,0.35487544536590576,64.358131408691406,41.115081787109375,20.6881103515625,37.905849456787109,28.440725326538086,0.9465675950050354,0.68230527639389038,18.205652236938477,0.0083116842433810234,1.5233151912689209,0.11161968857049942,0,1.7199463400174864E-05,0
