year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,123.43212977144867,119.05169629416325,92.466452749776863,1.9254724543314083E-07,19.834470670670271,-2.9110236431108715E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6660671234130859,0.12262514978647232,68.892959594726562,39.210918426513672,10.892122268676758,35.547943115234375,23.452606201171875,0.81729930639266968,0.63986295461654663,18.377307891845703,0.0025934223085641861,1.5233174562454224,0.078758262097835541,0,5.743172368966043E-05,0
2,121.83691088389605,93.060099894735558,94.655597979603783,1.0382230582122612E-06,19.834459951147437,-4.956124907780192E-07,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.2323389053344727,0.15647298097610474,68.858650207519531,41.190521240234375,7.0463142395019531,44.035285949707031,26.605262756347656,0.88237923383712769,0.79263520240783691,18.159444808959961,0.0044123400002717972,1.5233172178268433,0.11947616934776306,0,2.6466575945960358E-05,0
3,111.32802912220359,64.089774627069659,74.599221411079213,2.3744647217659979E-06,19.834462423808873,-4.6729794259514839E-07,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-4.035527229309082,0.12132978439331055,65.494415283203125,38.33026123046875,2.4620416164398193,48.045040130615234,28.808143615722656,0.89940124750137329,0.8648107647895813,18.070249557495117,0.0057209483347833157,1.5233169794082642,0.49709665775299072,0,1.2717838217213284E-05,0
4,99.349174323491752,46.30959893665073,58.289172482283561,3.8261751723198193E-06,19.834458744619042,-2.8968468650265867E-07,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.4576625823974609,0.054914787411689758,59.552433013916016,33.770717620849609,1.4264994859695435,55.401172637939453,22.188745498657227,1.0423599481582642,0.99722105264663696,17.794878005981445,0.0068009817041456699,1.5233168601989746,0.087606899440288544,0,6.3438292272621766E-06,0
5,96.316486125811934,60.789780808235321,63.823085765598933,4.6262774274202304E-06,19.834474736824632,6.1665184565645527E-08,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.7893447875976562,0.06722695380449295,54.635231018066406,31.49873161315918,5.6024899482727051,47.157501220703125,33.893512725830078,0.89963024854660034,0.84883499145507812,18.086009979248047,0.0072855609469115734,1.5233168601989746,0.1059456467628479,0,3.2056973395810928E-06,0
6,102.01083416957408,88.999010020855962,83.305238059994906,4.9150408685152298E-06,19.834478281904012,4.8436524449337053E-07,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.3089747428894043,0.04058968648314476,57.637844085693359,34.901889801025391,4.7042946815490723,42.452510833740234,28.270500183105469,0.86182355880737305,0.76414519548416138,18.20850944519043,0.0077389623038470745,1.5233166217803955,0.46210324764251709,0,1.6916428648983128E-06,0
7,99.162802455015481,71.076028169868323,73.924788166885037,5.5069299032576068E-06,19.834490445908159,8.9455185850989641E-07,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.3796420097351074,0.019798422232270241,57.221420288085938,33.736282348632812,3.1735270023345947,39.983451843261719,25.585609436035156,0.89032435417175293,0.71970212459564209,18.224464416503906,0.0080221444368362427,1.5233163833618164,0.12450971454381943,0,9.1355616405053297E-07,0
8,97.085332371294498,65.204142322250391,67.282318952889682,5.9995000616054753E-06,19.834490507375449,1.0667975895733764E-06,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-8.0101842880249023,0.029623372480273247,56.385936737060547,32.486194610595703,3.5407576560974121,42.216541290283203,20.937475204467773,1.0015310049057007,0.75989764928817749,18.073060989379883,0.0082112327218055725,1.5233162641525269,0.15110255777835846,0,8.3453196566551924E-05,0
9,108.72041619382799,103.91057857406588,92.276202695799725,6.1039468951014217E-06,19.834498903248459,1.3753378963496249E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.3156948089599609,0.048459865152835846,57.512004852294922,33.952754974365234,12.526050567626953,38.064323425292969,28.823537826538086,0.94294297695159912,0.68515777587890625,18.206398010253906,0.0081268828362226486,1.5233159065246582,0.61726677417755127,0,4.0233382605947554E-05,0
10,131.00536112580448,155.74526224999545,133.46093539477772,5.7593297850841477E-06,19.834502304438502,1.5310273315114615E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-10.005902290344238,0.35853868722915649,64.432029724121094,41.123626708984375,20.684600830078125,38.294071197509766,28.735736846923828,0.94365054368972778,0.68929320573806763,18.201559066772461,0.008258783258497715,1.5233151912689209,0.11126033961772919,0,1.7204474715981632E-05,0
11,173.15720901731402,330.78064843578591,288.62950317976856,4.8314238897776463E-06,19.834507430903614,1.8523463942585888E-06,-0.10266381502151489,1.5221859216690063,0.97157317399978638,1.1915740966796875,1.2897961139678955,0.63760042190551758,0,0,0,1,0,-7.5041680335998535,2.97403883934021,77.562782287597656,63.939014434814453,23.930730819702148,38.148658752441406,29.169017791748047,0.95687663555145264,0.6866757869720459,18.190954208374023,0.0082008261233568192,1.5233120918273926,0.060665957629680634,0,6.6491497818788048E-06,0
12,151.88132055522874,110.7607695036304,132.03782021698453,5.2772565618185639E-06,19.834510925691575,1.9955193269363901E-06,1.2918494939804077,0.97341936826705933,0.93442785739898682,1.087633490562439,1.0622619390487671,0.57387399673461914,0,0,0,0,0,-8.3538303375244141,3.2368659973144531,76.148704528808594,58.6820068359375,9.1825342178344727,42.680305480957031,27.213842391967773,1.0781022310256958,0.76824545860290527,17.988162994384766,0.008154645562171936,1.5233112573623657,0.54844856262207031,0,2.4605637918284629E-06,0
13,149.53337735356763,128.18622810178499,130.53502264439112,5.3911920189291348E-06,19.834518719930202,2.4399981361886676E-06,0.38415417075157166,1.0172392129898071,1.3274095058441162,1.2876853942871094,0.93925988674163818,-3.8962314128875732,0,0,0,0,0,-8.4043006896972656,2.249053955078125,74.418434143066406,54.357566833496094,13.867764472961426,42.099376678466797,32.030803680419922,1.0801116228103638,0.75778871774673462,17.996618270874023,0.0081875640898942947,1.523310661315918,0.072532594203948975,0,8.7580042418267112E-07,0
14,155.07546793250367,150.28467685440796,144.74315384580973,5.247198242591598E-06,19.834526782855392,2.8065227016980236E-06,0.97519940137863159,1.1559661626815796,1.0029282569885254,0.99482548236846924,1.0350583791732788,-3.6106224060058594,0,0,0,0,0,-9.3526058197021484,2.6993110179901123,75.793083190917969,54.999153137207031,17.169948577880859,42.186161041259766,32.743503570556641,1.1030204296112061,0.75935083627700806,17.97215461730957,0.0081962104886770248,1.5233099460601807,0.10452287644147873,0,3.1067185091160354E-07,0
15,136.07718450762331,68.140913003016067,87.139733711209146,5.3497140638436665E-06,19.834531051572412,3.1195416850196362E-06,0.55166441202163696,0.60855191946029663,1.0603740215301514,0.90695929527282715,0.97653692960739136,-6.3081607818603516,0,0,1,0,0,-7.4986071586608887,1.4376695156097412,71.524406433105469,50.844268798828125,7.4883265495300293,41.321754455566406,32.436248779296875,1.1071895360946655,0.74379152059555054,17.983549118041992,0.0081822406500577927,1.5233098268508911,0.40240395069122314,0,1.1262159205216449E-07,0
16,140.37970597902313,125.31398169325757,121.0122688300853,5.42328903111686E-06,19.834540729410946,3.5695211327457666E-06,2.2066075801849365,1.2088291645050049,0.94136548042297363,0.79003673791885376,0.76625841856002808,-4.2360310554504395,0,0,0,0,0,-9.0359029769897461,0.96941095590591431,72.629852294921875,49.383502960205078,12.863163948059082,47.636062622070312,29.475921630859375,1.1353651285171509,0.85744905471801758,17.841726303100586,0.0081341639161109924,1.5233093500137329,0.11283892393112183,0,4.077887538755931E-08,0
17,151.55257658846676,137.00284077130732,125.83048073629175,5.3079700144754757E-06,19.834552220534533,4.101871660293301E-06,1.1446069478988647,1.1669951677322388,1.4348448514938354,0.78276330232620239,0.91287940740585327,-7.0677590370178223,0,0,0,0,1,-10.005069732666016,1.4714438915252686,73.667716979980469,52.900196075439453,19.115995407104492,45.482818603515625,33.024417877197266,1.1182655096054077,0.81869065761566162,17.89759635925293,0.0080953985452651978,1.5233088731765747,0.08522670716047287,0,1.4899210754037995E-08,0
18,173.13713287934661,200.92535690511022,179.341244403053,5.0270211930354505E-06,19.834558351896703,4.462648397710235E-06,-0.36781978607177734,1.3242758512496948,0.97651195526123047,1.0611555576324463,1.0113592147827148,-6.0485343933105469,0,0,0,0,0,-11.625018119812012,3.0261027812957764,78.554847717285156,61.727668762207031,25.632942199707031,42.197628021240234,34.255897521972656,1.0939425230026245,0.75955724716186523,17.981058120727539,0.0080826077610254288,1.5233079195022583,0.3622032105922699,0,5.7548166232379572E-09,0
19,196.22653543157503,238.15433649054421,215.0655450924844,4.7882674440193865E-06,19.834567459765822,4.7768936667317556E-06,-1.9114727973937988,1.3501052856445312,0.94498550891876221,0.98045653104782104,1.2061358690261841,-8.6297569274902344,0,0,0,0,0,-11.726189613342285,4.9406733512878418,83.526924133300781,71.544692993164062,32.156517028808594,38.711612701416016,35.196002960205078,1.048637866973877,0.69680899381637573,18.089120864868164,0.0080025335773825645,1.5233064889907837,0.052005432546138763,0,2.374858310005834E-09,0
20,198.49291610484943,178.19252693156977,175.92686692256848,4.737914990827582E-06,19.834574006032199,5.1383138177144207E-06,-2.1009306907653809,1.1350480318069458,1.100659966468811,0.99480241537094116,1.3246381282806396,-3.4626357555389404,0,0,0,0,0,-10.894079208374023,6.8488779067993164,85.105865478515625,75.113822937011719,27.153182983398438,39.14813232421875,34.586917877197266,1.0349700450897217,0.7046663761138916,18.094938278198242,0.0079047419130802155,1.5233054161071777,0.14110895991325378,0,1.03324204747679E-09,0
