year,day,goal,target_opportunity,from_x,from_y,to_x,to_y,distance_cells,scout_radius_cells,water_need_met,biomass_need_met,water_mm_cells,fresh_biomass_gm2_cells,dry_biomass_gm2_cells,residue_gm2_cells,captured_sediment_kgm2_cells,chitin_kg,opportunities,actions
1,1,TrackRainFront,RainFront,160,160,158,157,3.6055512428283691,18,1,1,0.12549999356269836,0.87999999523162842,3.2049999237060547,0.023199997842311859,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:3.60555124|Migrate:CompactTrail:0.0042210049|Transform:ConsumeBiomass:0.099999994|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,2,TrackRainFront,RainFront,158,157,162,155,4.4721360206604004,18,1,1,0.14100000262260437,1.2599999904632568,3.309999942779541,0.046399995684623718,9.0000008640345186E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4.47213602|Migrate:CompactTrail:0.00288773281|Transform:ConsumeBiomass:0.099999994|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,3,FollowHarvester,HarvesterFront,162,155,160,150,5.385164737701416,18,1,1,0.15650001168251038,1.6399999856948853,3.4149999618530273,0.069599993526935577,0.00013500000932253897,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.38516474|Migrate:CompactTrail:0.00217863009|Transform:ConsumeBiomass:0.099999994|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,4,FollowHarvester,HarvesterFront,160,150,157,146,5,18,1,1,0.15400001406669617,1.6399999856948853,3.3799998760223389,0.080799996852874756,0.00018000001728069037,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5|Migrate:CompactTrail:0.00162622519|Absorb:CaptureDust:0.0450000018
1,5,FollowHarvester,HarvesterFront,157,146,154,142,5,18,1,1,0.15150001645088196,1.6399999856948853,3.3449997901916504,0.091999992728233337,0.00022500002523884177,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5|Migrate:CompactTrail:0.00152382371|Absorb:CaptureDust:0.0450000018
1,6,FollowHarvester,HarvesterFront,154,142,150,138,5.6568541526794434,18,1,1,0.14900001883506775,1.6399999856948853,3.3099997043609619,0.10319998860359192,0.00027000001864507794,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.65685415|Migrate:CompactTrail:0.00120360882|Absorb:CaptureDust:0.0450000018
1,7,FollowHarvester,HarvesterFront,150,138,154,140,4.4721360206604004,18,1,1,0.14650002121925354,1.6399999856948853,3.2749996185302734,0.1143999844789505,0.00031500001205131412,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4.47213602|Migrate:CompactTrail:0.00120067853|Absorb:CaptureDust:0.0450000018
1,8,FollowHarvester,HarvesterFront,154,140,150,138,4.4721360206604004,18,1,1,0.14400002360343933,1.6399999856948853,3.239999532699585,0.12559998035430908,0.00036000000545755029,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4.47213602|Migrate:CompactTrail:0.00120012555|Absorb:CaptureDust:0.0450000018
1,9,FollowHarvester,HarvesterFront,150,138,146,140,4.4721360206604004,18,1,1,0.14150002598762512,1.6399999856948853,3.2049994468688965,0.13679997622966766,0.00040499999886378646,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4.47213602|Migrate:CompactTrail:0.00120002311|Absorb:CaptureDust:0.0450000018
1,10,FollowHarvester,HarvesterFront,146,140,144,141,2.2360680103302002,18,1,1,0.15700003504753113,2.0199999809265137,3.3099994659423828,0.15999996662139893,0.00044999999227002263,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|OrganicPoorSoil|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:2.23606801|Migrate:CompactTrail:0.000900003477|Transform:ConsumeBiomass:0.099999994|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
