year,day,goal,target_opportunity,from_x,from_y,to_x,to_y,distance_cells,scout_radius_cells,water_need_met,biomass_need_met,water_mm_cells,fresh_biomass_gm2_cells,dry_biomass_gm2_cells,residue_gm2_cells,captured_sediment_kgm2_cells,chitin_kg,opportunities,actions
1,1,FollowHarvester,HarvesterFront,16,16,18,16,2,18,1,1,0.12549999356269836,0.87999999523162842,3.2049999237060547,0.023199997842311859,4.5000004320172593E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:2|Migrate:CompactTrail:0.00212102244|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,2,FollowHarvester,HarvesterFront,18,16,18,12,4,18,1,1,0.14100000262260437,1.2599999904632568,3.309999942779541,0.046399995684623718,9.0000008640345186E-05,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4|Migrate:CompactTrail:0.00292593427|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,3,FollowHarvester,HarvesterFront,18,12,20,17,5.385164737701416,18,1,1,0.15650001168251038,1.6399999856948853,3.4149999618530273,0.069599993526935577,0.00013500000932253897,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.38516474|Migrate:CompactTrail:0.00222110539|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
1,4,FollowHarvester,HarvesterFront,20,17,17,16,3.1622776985168457,18,1,1,0.15400001406669617,1.6399999856948853,3.3799998760223389,0.080799996852874756,0.00018000001728069037,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:3.1622777|Migrate:CompactTrail:0.000981927849|Absorb:CaptureDust:0.0450000018
1,5,FollowHarvester,HarvesterFront,17,16,18,15,1.4142135381698608,18,1,1,0.15150001645088196,1.6399999856948853,3.3449997901916504,0.091999992728233337,0.00022500002523884177,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:1.41421354|Migrate:CompactTrail:0.000610151095|Absorb:CaptureDust:0.0450000018
1,6,FollowHarvester,HarvesterFront,18,15,23,13,5.385164737701416,18,1,1,0.14900001883506775,1.6399999856948853,3.3099997043609619,0.10319998860359192,0.00027000001864507794,0,RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.38516474|Migrate:CompactTrail:0.00150456862|Absorb:CaptureDust:0.0450000018
1,7,FollowHarvester,HarvesterFront,23,13,18,14,5.0990195274353027,18,1,1,0.14650002121925354,1.6399999856948853,3.2749996185302734,0.1143999844789505,0.00028686632867902517,0,SurfaceWater|RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.09901953|Migrate:CompactTrail:0.00150086312|Absorb:CaptureDust:0.016866304
1,8,FollowHarvester,HarvesterFront,18,14,22,13,4.123105525970459,18,1,1,0.14400002360343933,1.6399999856948853,3.239999532699585,0.12559998035430908,0.00031339022098109126,0,SurfaceWater|RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:4.12310553|Migrate:CompactTrail:0.00150015997|Absorb:CaptureDust:0.026523903
1,9,FollowHarvester,HarvesterFront,22,13,19,17,5,18,1,1,0.14150002598762512,1.6399999856948853,3.2049994468688965,0.13679997622966766,0.00035839021438732743,0,SurfaceWater|RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5|Migrate:CompactTrail:0.00150003028|Absorb:CaptureDust:0.0450000018
1,10,FollowHarvester,HarvesterFront,19,17,18,12,5.0990195274353027,18,1,1,0.15700003504753113,2.0199999809265137,3.3099994659423828,0.15999996662139893,0.0004033902077935636,0,SurfaceWater|RainFront|Snowpack|DryStandingBiomass|DustFront|DepositionZone|FrozenCorridor|HarvesterFront,Transform:ConsumeBiomass:0.0350000001|Read:ReadFlows:12|Migrate:Move:5.09901953|Migrate:CompactTrail:0.00150000607|Absorb:CollectSnow:0.0179999992|Transform:MeltSnow:0.0179999992|Absorb:HarvestLiveBiomass:0.379999995|Absorb:HarvestDryBiomass:0.239999995|Absorb:CaptureDust:0.0450000018
