year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,99.497687933258717,18.640010079053901,16.327533171467042,8.6930744598292317E-07,19.838718860708177,-1.3269364320124681E-06,-9.8719396591186523,0.027414176613092422,60.387962341308594,32.999923706054688,1.7931883335113525,37.291496276855469,26.81254768371582,0.74355411529541016,0.67124694585800171,18.423917770385742,0.00010127483255928382,1.524425745010376,0.41433030366897583,0
2,99.5617700168863,18.79682468790601,18.732730459401989,6.5771418694172686E-07,19.838691652677952,-2.6283971617367208E-06,-9.8854217529296875,0.031426642090082169,59.348953247070312,34.063247680664062,1.8246111869812012,41.035243988037109,30.317888259887695,0.75663769245147705,0.73863440752029419,18.343420028686523,0.00017388802370987833,1.524425745010376,0.40875896811485291,0
3,98.53631338071078,18.997073094544447,20.022549666812012,7.0615511340580123E-07,19.838676232919099,-3.3357923115817453E-06,-9.8982992172241211,0.037472624331712723,58.229629516601562,34.120513916015625,1.8529504537582397,40.452262878417969,31.039007186889648,0.75232630968093872,0.72814071178436279,18.358209609985352,0.00022367764904629439,1.524425745010376,0.41894948482513428,0
4,97.264192089289423,19.080093969457376,20.35227038899615,9.4735271410808746E-07,19.838667680695654,-3.6970206032937961E-06,-9.9086341857910156,0.042565774172544479,57.284622192382812,33.754173278808594,1.8865011930465698,37.861648559570312,29.765485763549805,0.76811599731445312,0.68150961399078369,18.389041900634766,0.00025743618607521057,1.524425745010376,0.42451578378677368,0
5,96.034503829702729,19.014680999067167,20.244471295095082,1.3856249436682682E-06,19.838663502503188,-3.8377696817984687E-06,-9.9172019958496094,0.04277394711971283,56.514720916748047,33.297119140625,1.8849080801010132,35.593765258789062,28.113739013671875,0.79302656650543213,0.64068776369094849,18.404949188232422,0.00028173968894407153,1.524425745010376,0.43080052733421326,0
6,94.914018230829384,19.130720287643818,20.251348302802469,1.9353583950474225E-06,19.838661151677371,-3.8864083083822065E-06,-9.9246597290039062,0.04130004346370697,55.857776641845703,32.831275939941406,1.8897857666015625,34.240219116210938,26.970119476318359,0.81033176183700562,0.61632394790649414,18.412006378173828,0.00029941217508167028,1.524425745010376,0.43784108757972717,0
7,93.903989052269608,19.146442020702835,20.156627009452677,2.4517046249098917E-06,19.838656473960729,-4.0526893789480386E-06,-9.9313068389892578,0.039403680711984634,55.283710479736328,32.382003784179688,1.9055734872817993,33.361251831054688,26.237747192382812,0.81977313756942749,0.60050249099731445,18.418380737304688,0.00031797445262782276,1.524425745010376,0.43900778889656067,0
8,92.995193576421585,19.233956587700849,20.142910474491547,2.8981084833119337E-06,19.83865421799943,-4.0978230429400036E-06,-9.9373807907104492,0.03793276846408844,54.763130187988281,31.971673965454102,1.9291752576828003,32.693428039550781,25.704153060913086,0.82347011566162109,0.58848166465759277,18.426702499389648,0.00032616432872600853,1.5244256258010864,0.44808942079544067,0
9,92.150150812491773,19.158737904580956,20.00394475145298,3.3025997456232534E-06,19.838647750131784,-4.3589619936373074E-06,-9.9427299499511719,0.037005942314863205,54.295848846435547,31.608116149902344,1.9162218570709229,32.141513824462891,25.271154403686523,0.82350444793701172,0.57854717969894409,18.436595916748047,0.00033561754389666021,1.5244256258010864,0.45423111319541931,0
10,91.406061156820499,19.235463844513507,19.979715272707473,3.6441816502283947E-06,19.838643737919629,-4.4903532173490956E-06,-9.9475622177124023,0.036929741501808167,53.867931365966797,31.277376174926758,1.9308072328567505,31.65644645690918,24.891511917114258,0.82125347852706909,0.569815993309021,18.447574615478516,0.00034017837606370449,1.5244256258010864,0.45077106356620789,0
11,90.75495337525382,19.283459900995876,19.934740073126157,3.9769195990917638E-06,19.838647745568306,-4.2183009383640494E-06,-9.9519500732421875,0.036446522921323776,53.490089416503906,30.984340667724609,1.9478236436843872,31.226675033569336,24.549692153930664,0.81756824254989624,0.56208014488220215,18.458999633789062,0.00033992089447565377,1.5244256258010864,0.45386075973510742,0
12,90.125969498120241,19.204163700960343,19.833323667664736,4.2826972613314328E-06,19.8386501160264,-4.0297598370184491E-06,-9.9556674957275391,0.03643450140953064,53.146701812744141,30.721035003662109,1.9179270267486572,30.844160079956055,24.247013092041016,0.81315416097640991,0.55519485473632812,18.470300674438477,0.00034331032657064497,1.5244256258010864,0.4540962278842926,0
13,89.499211481418456,19.20102075288505,19.827958462812894,4.5649413313137023E-06,19.838653724677862,-3.7775253364824596E-06,-9.9587020874023438,0.036252621561288834,52.849781036376953,30.477302551269531,1.8333460092544556,30.504886627197266,23.971748352050781,0.80838268995285034,0.54908794164657593,18.481184005737305,0.00033944245660677552,1.5244256258010864,0.45457527041435242,0
14,88.9349613673985,19.140602547018208,19.705038699831093,4.8356602475950047E-06,19.838651539813728,-3.8177933180010713E-06,-9.9617691040039062,0.035225033760070801,52.581905364990234,30.248386383056641,1.7771522998809814,30.204624176025391,23.7266845703125,0.80350357294082642,0.54368323087692261,18.491464614868164,0.00033903022995218635,1.5244256258010864,0.46270081400871277,0
15,88.492715473733838,19.337689948098486,19.780130870370922,5.1001777021493028E-06,19.8386515859887,-3.745607795338968E-06,-9.9645280838012695,0.034435257315635681,52.345417022705078,30.031116485595703,1.792702317237854,29.948463439941406,23.514959335327148,0.79859328269958496,0.53907233476638794,18.500986099243164,0.00033974531106650829,1.5244255065917969,0.45855385065078735,0
16,88.096259609907861,19.319069907979102,19.715726792682108,5.3544294648499426E-06,19.838646832797675,-3.9158579127558938E-06,-9.9670114517211914,0.033678486943244934,52.140171051025391,29.817802429199219,1.8161380290985107,29.718845367431641,23.32354736328125,0.79378384351730347,0.5349392294883728,18.509923934936523,0.00034148458507843316,1.5244255065917969,0.45698544383049011,0
17,87.708383797798305,19.314148970514399,19.702231671935806,5.5993829292706096E-06,19.838640237897636,-4.1783628774285246E-06,-9.9691104888916016,0.033313114196062088,51.955142974853516,29.614156723022461,1.8179570436477661,29.52214241027832,23.154897689819336,0.78914767503738403,0.53139853477478027,18.518093109130859,0.00034318555844947696,1.5244255065917969,0.46140462160110474,0
18,87.341679200492806,19.281901166905953,19.648810561123902,5.8186039108370512E-06,19.838637360241265,-4.2556549676777343E-06,-9.9708919525146484,0.032938804477453232,51.789756774902344,29.421253204345703,1.8095560073852539,29.3514404296875,23.007850646972656,0.7847132682800293,0.52832591533660889,18.525598526000977,0.00034448146470822394,1.5244255065917969,0.46057769656181335,0
19,87.033771988805384,19.32444659491026,19.632565331545702,6.0335239581746961E-06,19.83863884823397,-4.1121577462168388E-06,-9.9725589752197266,0.032972227782011032,51.641693115234375,29.237583160400391,1.8333444595336914,29.198930740356445,22.879705429077148,0.78042131662368774,0.52558070421218872,18.532636642456055,0.00034619853249751031,1.5244255065917969,0.46717661619186401,0
20,86.749362014979127,19.376930233910898,19.661549673954724,6.2261853943769042E-06,19.838635184131562,-4.2269303867570323E-06,-9.9741020202636719,0.032784555107355118,51.507595062255859,29.064958572387695,1.8553204536437988,29.066778182983398,22.763940811157227,0.77630031108856201,0.52320194244384766,18.539133071899414,0.00034661931567825377,1.5244255065917969,0.46957731246948242,0
21,86.456361831203097,19.287919263942385,19.581130283839592,6.407789739479873E-06,19.838625223617999,-4.659975850520836E-06,-9.9755916595458984,0.032055497169494629,51.384841918945312,28.902971267700195,1.8472224473953247,28.950977325439453,22.664209365844727,0.77234160900115967,0.52111756801605225,18.545166015625,0.00034837611019611359,1.5244255065917969,0.46271809935569763,0
22,86.196347090695056,19.360721815444414,19.620948810490372,6.5777057424599681E-06,19.838621232621371,-4.7911983301592401E-06,-9.9770746231079102,0.030716395005583763,51.271453857421875,28.74797248840332,1.8582479953765869,28.852497100830078,22.578907012939453,0.76853680610656738,0.51934492588043213,18.550739288330078,0.00034896566648967564,1.5244253873825073,0.46556508541107178,0
23,85.968274075984951,19.322078701517459,19.550364422696948,6.7367246361496489E-06,19.838619504980741,-4.808424081181337E-06,-9.9782285690307617,0.03068925254046917,51.172050476074219,28.599578857421875,1.8775310516357422,28.758272171020508,22.498001098632812,0.76489436626434326,0.51764887571334839,18.556076049804688,0.00034671262255869806,1.5244253873825073,0.46579709649085999,0
24,85.76585050366819,19.39501784029213,19.597652578449708,6.8810622552814615E-06,19.838620016612111,-4.712777250064645E-06,-9.9792842864990234,0.03079468198120594,51.086334228515625,28.457115173339844,1.9029639959335327,28.674051284790039,22.423990249633789,0.76139312982559204,0.5161328911781311,18.561094284057617,0.00034360901918262243,1.5244253873825073,0.46539288759231567,0
25,85.54794847350567,19.300580501433725,19.518701956807782,7.0311599658062628E-06,19.838621531818063,-4.5681139603010475E-06,-9.9802618026733398,0.030613662675023079,51.007076263427734,28.32081413269043,1.9017188549041748,28.605560302734375,22.362119674682617,0.75808286666870117,0.51490002870559692,18.565639495849609,0.00034303471329621971,1.5244253873825073,0.47057938575744629,0
26,85.349966179318727,19.344374764242968,19.542573258842168,7.1656087228260042E-06,19.838618736751378,-4.6389711945609453E-06,-9.9810924530029297,0.030627964064478874,50.929698944091797,28.195154190063477,1.9069483280181885,28.546316146850586,22.307626724243164,0.75488084554672241,0.51383364200592041,18.569904327392578,0.00033662506029941142,1.5244253873825073,0.46456694602966309,0
27,85.183356345463551,19.399133806056124,19.565956454975677,7.2854641610114712E-06,19.838607153594495,-5.1529726924192949E-06,-9.982142448425293,0.029928946867585182,50.856540679931641,28.075983047485352,1.9334110021591187,28.490823745727539,22.258579254150391,0.75174587965011597,0.51283478736877441,18.574026107788086,0.00033407381852157414,1.5244253873825073,0.46265324950218201,0
28,85.020346156060697,19.383116875573467,19.546347412125979,7.4100433613422787E-06,19.838595279399307,-5.6816454471752022E-06,-9.983062744140625,0.02940666675567627,50.791980743408203,27.963235855102539,1.9441457986831665,28.442344665527344,22.216508865356445,0.74869042634963989,0.5119621753692627,18.57794189453125,0.00033013912616297603,1.5244253873825073,0.46874496340751648,0
29,84.807883399138234,19.332546918500228,19.545227183215101,7.5234881293873182E-06,19.838590640351175,-5.8456231489597003E-06,-9.9835491180419922,0.029952103272080421,50.723655700683594,27.857841491699219,1.8970056772232056,28.397605895996094,22.175010681152344,0.7457548975944519,0.51115685701370239,18.58167839050293,0.00032729501253925264,1.5244252681732178,0.46799227595329285,0
30,84.562867592796678,19.230144888339492,19.475381016532193,7.6357599893533527E-06,19.838589491136371,-5.8336933075605259E-06,-9.9838361740112305,0.028787707909941673,50.670383453369141,27.757144927978516,1.807380199432373,28.353734970092773,22.136070251464844,0.74291342496871948,0.51036721467971802,18.585308074951172,0.00032537573133595288,1.5244252681732178,0.47252556681632996,0
31,84.371781782926988,19.380953313245335,19.572260256993321,7.7412879657823816E-06,19.838590244092046,-5.7258819663977554E-06,-9.9843263626098633,0.029282692819833755,50.613590240478516,27.662063598632812,1.7769432067871094,28.312240600585938,22.098764419555664,0.74016803503036499,0.5096203088760376,18.588802337646484,0.00032371870474889874,1.5244252681732178,0.47274217009544373,0
32,84.243019004315144,19.346103245679405,19.475083584142556,7.8364423511676677E-06,19.838590057250112,-5.6654420588303717E-06,-9.9849052429199219,0.029405463486909866,50.56536865234375,27.572683334350586,1.7887754440307617,28.274518966674805,22.066183090209961,0.73751306533813477,0.50894129276275635,18.592136383056641,0.00032269457005895674,1.5244252681732178,0.46500223875045776,0
33,84.117127995416524,19.387899763977838,19.514013166627702,7.932718042483834E-06,19.838590642046185,-5.5661075833377121E-06,-9.9855422973632812,0.029174329712986946,50.518390655517578,27.488729476928711,1.7938646078109741,28.24608039855957,22.036966323852539,0.7349364161491394,0.50842940807342529,18.595224380493164,0.00032239427673630416,1.5244252681732178,0.46933302283287048,0
34,83.986932851318272,19.308468523771008,19.438885897229774,8.0246541645129502E-06,19.838589448556306,-5.5564088901393315E-06,-9.9860630035400391,0.029475102201104164,50.472373962402344,27.408159255981445,1.7903187274932861,28.222515106201172,22.013397216796875,0.73242348432540894,0.50800526142120361,18.598159790039062,0.00032197663676925004,1.5244252681732178,0.47014403343200684,0
