year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,148.46318299695849,258.92702001491807,207.07581043965303,1.5719184053845126E-06,19.834439119324088,-3.949838135637897E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6100282669067383,0.1326058954000473,73.121124267578125,43.388820648193359,27.417266845703125,39.072780609130859,25.755884170532227,0.83683353662490845,0.70331001281738281,18.294296264648438,0,1.5234174728393555,0.023734379559755325,0
2,140.66949981078506,200.2420575254593,208.03647509654877,2.3269300444202891E-06,19.834431687369943,-7.6968315168065153E-07,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.1806764602661133,0.18392826616764069,72.559608459472656,46.745807647705078,16.677284240722656,49.068233489990234,29.533708572387695,0.91492301225662231,0.88322818279266357,18.036279678344727,0,1.5234154462814331,0.018780989572405815,0
3,122.96119495481253,128.46853445772098,146.17786307002888,3.3862213472395675E-06,19.834429729729891,-8.6838215026732367E-07,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-3.9781343936920166,0.048852603882551193,69.671424865722656,42.376113891601562,5.9636397361755371,54.506721496582031,32.522296905517578,0.94605880975723267,0.9811210036277771,17.907249450683594,0,1.5234143733978271,0.042482770979404449,0
4,108.9466677159071,93.07191886485748,107.0877493356744,4.6573433964291066E-06,19.834432639181614,-7.2169534171129904E-07,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.4043493270874023,0.028318013995885849,63.494800567626953,37.101528167724609,3.6549179553985596,63.546337127685547,25.060312271118164,1.1173394918441772,1.1438339948654175,17.573259353637695,0,1.5234138965606689,0.018843017518520355,0
5,109.67059719562531,125.62261025510713,124.89985157567742,5.3060358318583855E-06,19.834434589371085,-6.2337198155882929E-07,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.7453317642211914,0.093339942395687103,58.655326843261719,35.059127807617188,11.330263137817383,55.935569763183594,39.324542999267578,0.98198282718658447,1.0068402290344238,17.845611572265625,0,1.5234135389328003,0.021420113742351532,0
6,117.36449141800404,190.50632890003249,182.81357284929823,5.4224913173165675E-06,19.834435595199466,-5.7266079294150963E-07,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.244534969329834,0.052351299673318863,62.702590942382812,41.258235931396484,8.6257495880126953,52.414413452148438,33.900520324707031,0.93900662660598755,0.94345939159393311,17.951969146728516,0,1.5234122276306152,0.024579262360930443,0
7,116.2138529997319,153.68895800351288,154.84090198565457,5.8011074048706444E-06,19.834437761455774,-4.6344391819717122E-07,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.3460054397583008,0.029139496386051178,62.053138732910156,38.804248809814453,10.189264297485352,49.989799499511719,31.131677627563477,0.97428089380264282,0.89981639385223389,17.96034049987793,0,1.5234112739562988,0.024727635085582733,0
8,115.97625968977809,138.46184807766895,138.70048818393934,5.9768898406443912E-06,19.834432503208518,-7.2855074313549228E-07,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-7.9531049728393555,0.056071706116199493,62.070018768310547,37.662361145019531,11.449817657470703,53.505512237548828,26.055116653442383,1.1082817316055298,0.96309912204742432,17.763051986694336,0,1.5234106779098511,0.046703808009624481,0
9,137.25603366084397,222.08829027152342,200.80948575998309,5.7542486926677439E-06,19.834435913711786,-5.5660224987935848E-07,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.2333860397338867,0.10262444615364075,64.707489013671875,41.249652862548828,26.467363357543945,48.561283111572266,35.906715393066406,1.052668571472168,0.8741031289100647,17.907663345336914,0,1.5234097242355347,0.053970340639352798,0
10,168.33306466788054,320.80601189383196,289.72994344904532,5.2961529610687835E-06,19.834436012431979,-5.5162504062617708E-07,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-9.9303836822509766,0.2698725163936615,70.758758544921875,47.940120697021484,44.882957458496094,48.407932281494141,35.754913330078125,1.0455485582351685,0.87134271860122681,17.917545318603516,0,1.5234071016311646,0.01469931285828352,0
11,212.64785047248006,698.5869899242241,654.27352812421918,4.3917963493379664E-06,19.834437388926744,-4.8222583990728964E-07,-0.10266381502151489,1.5221859216690063,0.97157317399978638,1.1915740966796875,1.2897961139678955,0.63760042190551758,0,0,0,1,0,-7.4422922134399414,4.6543407440185547,81.867408752441406,68.034713745117188,53.320812225341797,46.913681030273438,35.581733703613281,1.0334070920944214,0.84444618225097656,17.956584930419922,0,1.5233988761901855,0.020543700084090233,0
12,163.58310018666089,234.66185529646327,283.72785633025433,4.4687287740836882E-06,19.834433928132057,-6.5670989259428942E-07,1.2918494939804077,0.97341936826705933,0.93442785739898682,1.087633490562439,1.0622619390487671,0.57387399673461914,0,0,0,0,0,-8.3337593078613281,3.0819768905639648,77.811508178710938,57.118919372558594,20.905075073242188,51.082008361816406,32.512073516845703,1.1377837657928467,0.91947603225708008,17.77717399597168,0,1.5233961343765259,0.060173746198415756,0
