year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,145.56453818827868,256.22404074490959,207.27147242070183,1.5738775064872852E-06,19.83443914167583,-3.9385689826118259E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6048097610473633,0.12946616113185883,73.121139526367188,43.388832092285156,24.589885711669922,39.072784423828125,25.760271072387695,0.83683353662490845,0.70331013202667236,18.294296264648438,0,1.5234174728393555,0.023726643994450569,0
2,138.89853250607848,197.12641950244398,203.79320755938843,2.4323404805817319E-06,19.834433926269412,-6.5680380220284007E-07,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.1923589706420898,0.17915238440036774,71.888595581054688,45.987533569335938,16.12379264831543,49.045230865478516,29.546337127685547,0.91385090351104736,0.88281410932540894,18.037769317626953,0,1.5234155654907227,0.018790602684020996,0
3,122.86665198579431,130.91630502346163,146.94913513738589,3.3593207107036312E-06,19.834432305768132,-7.3850516164185497E-07,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-3.9821681976318359,0.047202445566654205,69.583992004394531,42.182445526123047,6.1501884460449219,54.446144104003906,32.511344909667969,0.94624632596969604,0.98003047704696655,17.90815544128418,0,1.5234143733978271,0.042426224797964096,0
4,108.96663626655936,91.435614322249762,105.33682288640898,4.5061128282477668E-06,19.834433164447546,-6.9521283210003215E-07,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.4008846282958984,0.027192642912268639,63.774620056152344,36.989566802978516,3.5664272308349609,63.682746887207031,25.053091049194336,1.1215416193008423,1.1462892293930054,17.56660270690918,0,1.5234138965606689,0.018818061798810959,0
5,110.70393341593444,125.869315943434,124.13310457993055,5.0835057078816691E-06,19.834431044757366,-8.0208196663060579E-07,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.7453937530517578,0.095785282552242279,58.964576721191406,34.976913452148438,12.122082710266113,56.482997894287109,39.523048400878906,0.98576873540878296,1.0166938304901123,17.831968307495117,0,1.5234135389328003,0.021400460973381996,0
6,119.61005714721978,191.57263606054244,182.66764941799488,5.2332898677433825E-06,19.83443146944046,-7.8067057588107084E-07,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.2510318756103516,0.051550239324569702,63.004035949707031,41.260322570800781,10.410664558410645,52.975021362304688,34.200729370117188,0.93930011987686157,0.95355033874511719,17.941581726074219,0,1.5234122276306152,0.024546816945075989,0
7,114.03214992396533,149.77408313333422,155.35325915567455,5.6245574941656835E-06,19.834434183314443,-6.4384427622285837E-07,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.323455810546875,0.029896659776568413,62.319839477539062,38.951763153076172,7.5512857437133789,50.488002777099609,31.414667129516602,0.97208589315414429,0.90878409147262573,17.953563690185547,0,1.5234112739562988,0.024715878069400787,0
8,112.11453445255756,133.45746691597219,135.37613414097268,5.8438708103632161E-06,19.834431603550911,-7.7390908406542815E-07,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-7.9510865211486816,0.054161641746759415,61.678627014160156,37.164226531982422,8.4835968017578125,54.140026092529297,26.058340072631836,1.1029778718948364,0.97452050447463989,17.756933212280273,0,1.5234107971191406,0.046815700829029083,0
9,134.64935699105263,217.12838589254466,194.59459559982133,5.6950612191205217E-06,19.834434952586889,-6.050596078914639E-07,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.2480831146240234,0.095541119575500488,63.385669708251953,39.699947357177734,26.739118576049805,48.798423767089844,36.165714263916016,1.0452758073806763,0.87837165594100952,17.910787582397461,0,1.5234098434448242,0.054179832339286804,0
10,167.86454396694899,321.16949948285378,287.95529913103292,5.254281426601894E-06,19.834437960758805,-4.5339559008225787E-07,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-9.9316530227661133,0.27146932482719421,70.637825012207031,47.861007690429688,44.614898681640625,48.467685699462891,35.845794677734375,1.0357389450073242,0.87241834402084351,17.926280975341797,0,1.5234073400497437,0.01472911424934864,0
