year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,99.873995203375813,17.98999034011047,15.301315631301359,1.8246698567737794E-06,19.838721702806652,-1.3394296398512631E-06,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6949872970581055,0.026223646476864815,60.849464416503906,33.032882690429688,1.6740295886993408,37.078262329101562,24.899190902709961,0.75609695911407471,0.66740870475769043,18.415216445922852,9.4455717771779746E-05,1.524425745010376,0.38550388813018799,0
2,97.528688351288437,14.424184693790972,16.769495331777811,1.6507994878694731E-06,19.838695045411587,-2.6831331182540276E-06,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.3259201049804688,0.020827220752835274,58.271076202392578,33.739025115966797,1.0672787427902222,44.079765319824219,27.59242057800293,0.77831721305847168,0.79343575239181519,18.266942977905273,0.00016320818394888192,1.524425745010376,0.34008786082267761,0
3,92.744509734157475,10.26846332669979,15.052636147520566,1.4881638238178259E-06,19.838682283647358,-3.326407787158388E-06,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-4.1483936309814453,0.0061536896973848343,54.877815246582031,32.895851135253906,0.30146327614784241,45.207767486572266,29.145092010498047,0.77055108547210693,0.8137398362159729,18.254390716552734,0.00021118734730407596,1.524425745010376,0.49493426084518433,0
4,85.738645305689431,7.464224131445417,14.47008899265661,1.415706739486335E-06,19.838680371884255,-3.4227728942344928E-06,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.5769796371459961,0.0054536499083042145,49.85504150390625,31.14703369140625,0.20765872299671173,47.95263671875,21.610149383544922,0.92035740613937378,0.86314743757247925,18.05517578125,0.0002516693202778697,1.524425745010376,0.46900367736816406,0
5,81.933854219000793,10.063582028170959,13.868502991904634,2.1503524176381422E-06,19.838680768553168,-3.4027782400620919E-06,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.851750373840332,0.021815085783600807,46.822620391845703,29.713325500488281,0.9350358247756958,38.306957244873047,29.786867141723633,0.83920174837112427,0.68952518701553345,18.309953689575195,0.00027220248011872172,1.524425745010376,0.3408312201499939,0
6,80.302974176686263,13.989047623246996,15.620065011504266,2.7762228798526728E-06,19.838682763669638,-3.3022115891551501E-06,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.4155464172363281,0.0087366793304681778,46.117958068847656,28.974298477172852,0.66200911998748779,32.725025177001953,24.180456161499023,0.80298817157745361,0.58905041217803955,18.446643829345703,0.00029373710276558995,1.524425745010376,0.33650055527687073,0
7,78.172234384585167,11.953276015764505,14.084155861502131,3.3591284913088518E-06,19.838685652948914,-3.156573404929927E-06,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.5094752311706543,0.0033490306232124567,45.018112182617188,28.025259017944336,0.4186764657497406,28.934738159179688,20.84033203125,0.82499933242797852,0.52082526683807373,18.492860794067383,0.00030959167634136975,1.524425745010376,0.57871943712234497,0
8,75.518696600235998,11.202140869471204,13.855805891386044,3.8197439235458189E-06,19.838679585363717,-3.4624185679330189E-06,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-8.1449518203735352,0.0081352582201361656,43.419040679931641,27.05259895324707,0.50759321451187134,29.502927780151367,16.758125305175781,0.91090118885040283,0.53105270862579346,18.396726608276367,0.00032008381094783545,1.524425745010376,0.64923602342605591,0
9,76.638530688751487,17.699690852202437,16.580043469597403,4.3808906747876497E-06,19.838679281845689,-3.477717820832121E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.4081974029541016,0.013599671423435211,43.712932586669922,26.463350296020508,1.9279617071151733,25.601419448852539,21.355215072631836,0.86014461517333984,0.46082553267478943,18.517709732055664,0.00032165099401026964,1.524425745010376,0.87790000438690186,0
10,80.267823512572789,25.51603755007487,21.886911763813021,4.6132913171122972E-06,19.838676067478954,-3.6397424954438446E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-10.146917343139648,0.031107151880860329,45.716178894042969,27.057348251342773,3.1567683219909668,24.699159622192383,20.3836669921875,0.83036571741104126,0.44458484649658203,18.563726425170898,0.00033122661989182234,1.524425745010376,0.4591183066368103,0
