year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,non_finite
1,148.71961615234613,259.0279751288403,206.92031493352613,1.52236440434929E-06,19.834448577836156,8.1889178656116178E-08,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6050643920898438,0.12748821079730988,73.441307067871094,43.419651031494141,27.329097747802734,35.723834991455078,23.370660781860352,0.82665848731994629,0.64302909374237061,18.364761352539062,0.009472227655351162,1.5234174728393555,0.024779338389635086,0
2,141.28934111446142,200.37511502703592,207.806132744119,2.3094576402874709E-06,19.834453359246254,3.229551438054857E-07,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.1751213073730469,0.16012385487556458,73.186912536621094,46.825641632080078,16.615541458129883,44.779918670654297,26.777496337890625,0.89338153600692749,0.806038498878479,18.135032653808594,0.016335168853402138,1.5234154462814331,0.019828205928206444,0
3,124.21104245260358,128.60518412938478,145.68450739802523,3.3722353684348388E-06,19.834460586309433,6.8732442498178239E-07,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-3.9638354778289795,0.061981756240129471,70.725608825683594,42.557727813720703,5.9615836143493652,49.525161743164062,29.3533935546875,0.91776484251022339,0.8914528489112854,18.025243759155273,0.02074141800403595,1.5234143733978271,0.04208499938249588,0
4,110.91403697058558,93.13200319033615,106.43026972097311,4.5898290986656781E-06,19.834478300064802,1.5804048022979119E-06,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.3851265907287598,0.03136877715587616,65.147773742675781,37.409088134765625,3.6595244407653809,57.095722198486328,22.416057586669922,1.0875334739685059,1.027722954750061,17.719221115112305,0.02381955087184906,1.5234138965606689,0.0191959198564291,0
5,112.25554030388594,125.67855026200073,124.33809400693133,5.1103287918081067E-06,19.834494197741151,2.381923311277214E-06,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.719569206237793,0.089602373540401459,60.782440185546875,35.611133575439453,11.239048957824707,49.381763458251953,34.591453552246094,0.94580692052841187,0.88887166976928711,17.999814987182617,0.025460448116064072,1.5234135389328003,0.021932670846581459,0
6,120.29645518958569,190.64473485777091,182.60488463718571,5.1929628332398952E-06,19.834509691223502,3.1630634352010376E-06,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.2182683944702148,0.052948832511901855,64.865425109863281,42.091819763183594,8.5609550476074219,45.514255523681641,29.137353897094727,0.90153181552886963,0.8192564845085144,18.11372184753418,0.026993546634912491,1.5234122276306152,0.024894801899790764,0
7,119.65857977047563,153.77175062696938,154.41090951033118,5.5815788829062688E-06,19.834528673440218,4.1200962559401204E-06,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.3184294700622559,0.033205397427082062,64.398757934570312,39.885372161865234,10.197660446166992,43.67962646484375,26.793666839599609,0.93490475416183472,0.78623324632644653,18.11338996887207,0.027934292331337929,1.5234112739562988,0.024705791845917702,0
8,119.82597166858613,138.48754773432393,138.32120529019949,5.7810075625375706E-06,19.834545627236366,4.9748615129676078E-06,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-7.924461841583252,0.057298809289932251,64.595695495605469,38.973484039306641,11.461522102355957,46.884559631347656,22.538692474365234,1.0663150548934937,0.84392207860946655,17.924308776855469,0.02855151891708374,1.5234106779098511,0.046726040542125702,0
9,141.26819676160812,222.12111113505534,200.6797989519473,5.5502433695080681E-06,19.834568833932281,6.1448813258994331E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.2009468078613281,0.10458941012620926,67.3555908203125,42.718826293945312,26.359226226806641,42.39312744140625,31.036632537841797,1.0009756088256836,0.7630763053894043,18.070516586303711,0.028371315449476242,1.5234097242355347,0.053351424634456635,0
10,172.03063672780991,320.9004118751252,290.13889870465368,5.107463632522217E-06,19.834585297852755,6.9749483558781149E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-9.9045448303222656,0.32991814613342285,72.881759643554688,49.502803802490234,44.833938598632812,42.19976806640625,30.896022796630859,0.98782438039779663,0.75959569215774536,18.087165832519531,0.028816906735301018,1.5234071016311646,0.014919915236532688,0
