year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,123.17998238094151,118.9917394808318,92.658667962767908,3.0674072920694228E-07,19.834475432056934,-6.0569226122783531E-07,-0.59993124008178711,0.90255343914031982,0.99728578329086304,1.1382597684860229,0.81245481967926025,9.4253749847412109,0,0,0,0,0,-9.6699161529541016,0.12627843022346497,68.607917785644531,39.207736968994141,10.924093246459961,38.710441589355469,25.693916320800781,0.81960445642471313,0.69678795337677002,18.318082809448242,0,1.5233174562454224,0.076894491910934448,0,5.7432833273196593E-05,0
2,121.22712686285377,92.988774483934407,94.941950237143061,1.2513192073537302E-06,19.834465345367789,-1.1142352307404575E-06,0.43707931041717529,0.74671679735183716,1.0037463903427124,0.94033801555633545,1.0475691556930542,9.9783344268798828,0,0,0,0,0,-8.2378654479980469,0.17309862375259399,68.33148193359375,41.074398040771484,7.061251163482666,48.01318359375,29.275697708129883,0.89018398523330688,0.86423724889755249,18.080043792724609,0,1.5233172178268433,0.11555608361959457,0,2.6463523681741208E-05,0
3,110.16689373552799,64.004616879817206,75.06543576506067,2.6076076816723375E-06,19.834459627047181,-1.4025371404221436E-06,0.9590333104133606,0.71359556913375854,0.96214854717254639,1.151714563369751,1.0317662954330444,1.3861122131347656,0,0,0,0,0,-4.0472002029418945,0.13351646065711975,64.535888671875,38.114734649658203,2.4648978710174561,52.640388488769531,31.994134902954102,0.91280341148376465,0.94752699136734009,17.974128723144531,0,1.5233169794082642,0.48897740244865417,0,1.2714083823084366E-05,0
4,97.510410137474537,46.186244650776416,58.843412781330812,3.9538424453958505E-06,19.834455688484013,-1.6011086023185361E-06,5.7839756011962891,0.77621561288833618,1.0454308986663818,1.0085256099700928,1.0994127988815308,4.0551657676696777,1,0,0,0,0,-7.4756560325622559,0.054421514272689819,58.028171539306641,33.455951690673828,1.4266500473022461,60.304927825927734,24.608379364013672,1.0566636323928833,1.0854885578155518,17.692302703857422,0,1.5233168601989746,0.086476787924766541,0,6.3413235693587922E-06,0
5,93.938499241601676,60.71476370709189,64.287339862786666,4.8401755231994374E-06,19.834456067997962,-1.5819745586385219E-06,1.1425231695175171,0.79255056381225586,1.0059746503829956,1.2003706693649292,0.81111901998519897,-5.0759706497192383,0,0,0,0,0,-8.8123846054077148,0.067944787442684174,52.671321868896484,31.059724807739258,5.6261706352233887,51.082988739013672,37.232402801513672,0.92491662502288818,0.91949379444122314,17.990045547485352,0,1.5233168601989746,0.10568855702877045,0,3.2044620184024097E-06,0
6,99.299908778630197,88.923034114659345,83.562265456154023,5.2103033744431063E-06,19.834459980484098,-1.3847178285778113E-06,0.67243671417236328,0.7945026159286499,0.9336090087890625,1.2287269830703735,0.97322851419448853,-0.52393007278442383,0,0,0,0,0,-7.3352689743041992,0.032567627727985382,55.454727172851562,34.362239837646484,4.7235159873962402,45.955635070800781,31.160684585571289,0.89371418952941895,0.8272014856338501,18.113544464111328,0,1.5233166217803955,0.46845635771751404,0,1.6910762496991083E-06,0
7,96.204262473154813,71.024686449358398,74.121067493407054,5.78039780948568E-06,19.834464197512716,-1.1721069088646722E-06,1.5286036729812622,0.81815534830093384,0.92501038312911987,1.0692309141159058,0.90733432769775391,-2.9499673843383789,0,0,0,0,0,-5.4074850082397461,0.017132436856627464,54.805942535400391,33.203792572021484,3.1683492660522461,42.744403839111328,27.896265029907227,0.92572534084320068,0.76939922571182251,18.139339447021484,0,1.5233163833618164,0.12836140394210815,0,9.1330065288275364E-07,0
8,93.993536362424493,65.208138999987455,67.419566047626518,6.2400559923748106E-06,19.834461419377476,-1.3121728040732177E-06,4.4619688987731934,0.93604212999343872,1.0440521240234375,1.0425615310668945,0.78853374719619751,-1.0737347602844238,1,0,0,0,0,-8.0394496917724609,0.027302738279104233,53.826690673828125,31.955747604370117,3.5399425029754639,45.001991271972656,22.830657958984375,1.0383313894271851,0.8100358247756958,17.986093521118164,0,1.5233162641525269,0.15530489385128021,0,8.3514838479459286E-05,0
9,105.80858504958451,103.96936696064756,92.155046180226918,6.3378878089145006E-06,19.834463326260448,-1.2160330385889747E-06,1.3911352157592773,0.97963917255401611,1.0540831089019775,1.1083544492721558,0.90668165683746338,-9.9238519668579102,0,0,0,0,0,-8.3433494567871094,0.04601842537522316,55.106189727783203,33.429309844970703,12.546843528747559,40.196456909179688,30.868951797485352,0.98736405372619629,0.72353613376617432,18.123563766479492,0,1.5233159065246582,0.63533663749694824,0,4.0259812521981075E-05,0
10,128.61470861872658,155.73681259616694,132.93137663486903,6.0274626100874943E-06,19.834462264087051,-1.2695848835388057E-06,0.78083473443984985,1.0848779678344727,1.1553343534469604,1.0324153900146484,1.0690408945083618,-7.7137184143066406,0,0,0,0,0,-10.02849292755127,0.31252694129943848,62.702281951904297,40.512371063232422,20.681398391723633,40.433261871337891,30.605783462524414,0.99234986305236816,0.7277987003326416,18.114313125610352,0,1.5233151912689209,0.1124560758471489,0,1.7215046682395041E-05,0
