year,stored_water_mm_per_cell,input_mm_per_cell,output_mm_per_cell,water_error,nitrogen_gm2_per_cell,nitrogen_error,climate_temperature_anomaly_c,climate_moisture_multiplier,climate_wind_multiplier,climate_storm_frequency,climate_storm_intensity,climate_phase_shift_days,severe_heat,severe_cold,severe_drought,extreme_wet,severe_wind,temperature_c,surface_water_mm,root_water_mm,groundwater_mm,snow_mm,live_biomass_gm2,dry_biomass_gm2,available_nitrogen_gm2,plant_nitrogen_gm2,organic_nitrogen_gm2,soil_compaction,soil_depth_m,dust_gm2,fire_intensity,burn_scar,non_finite
1,130.7299267295748,195.21506436406528,159.85913451149821,1.0623542078522659E-06,19.737663228064775,-6.1765188872918122E-07,6.0060577392578125,1.0586880445480347,0.81292831897735596,0.84776389598846436,0.99128550291061401,2.2792239189147949,1,0,0,0,0,-7.8132328987121582,0.054668571799993515,72.682853698730469,35.603736877441406,17.579147338867188,53.554527282714844,16.960906982421875,1.1273941993713379,0.96398144960403442,17.64628791809082,0,1.5130945444107056,0.076290160417556763,0,0,0
2,167.83244826458395,321.04882316157477,283.9471992564433,1.9723086181171094E-06,19.737659338861704,-8.1469652488907892E-07,1.1825945377349854,1.0412983894348145,1.0680098533630371,1.1471019983291626,1.1281112432479858,-6.2962007522583008,0,0,0,0,0,-7.7385239601135254,0.28138920664787292,74.451683044433594,44.643276214599609,43.610813140869141,58.200149536132812,38.911602020263672,1.0782097578048706,1.047602653503418,17.611846923828125,0,1.5130914449691772,0.0083935260772705078,0,0,0
3,169.17805151361972,280.66692199063448,279.32246934343118,2.6414076139917547E-06,19.737657949328423,-8.8509657209946386E-07,1.4476797580718994,0.94954031705856323,0.99259024858474731,1.0739972591400146,0.90732443332672119,-9.174774169921875,0,0,0,0,0,-7.2026739120483398,2.0427660942077637,75.309120178222656,51.738494873046875,35.106956481933594,53.92401123046875,42.873733520507812,1.0742524862289429,0.97063213586807251,17.692773818969727,0,1.5130884647369385,0.14000546932220459,0,0,0
4,181.56872299686074,271.02310487396483,258.63354235429449,2.9793013225569215E-06,19.737658457830548,-8.5933355214177608E-07,1.0838866233825684,0.96209245920181274,1.1549487113952637,1.2267146110534668,0.80264407396316528,-12.391513824462891,0,0,0,0,0,-13.624689102172852,2.0849490165710449,74.846664428710938,51.655960083007812,49.025455474853516,53.073345184326172,41.194664001464844,1.0856955051422119,0.95532017946243286,17.69664192199707,0,1.5130859613418579,0.003512505441904068,0,0,0
5,256.69518073648214,482.48117691157495,407.35605604682348,2.918187334224157E-06,19.737657619640231,-9.0180006855554712E-07,-3.5254032611846924,1.1211881637573242,1.0475125312805176,1.2870075702667236,1.0369105339050293,-9.9633779525756836,0,1,0,0,0,-8.7754459381103516,2.1609733104705811,83.907829284667969,76.1636962890625,89.644889831542969,43.188983917236328,43.114158630371094,0.90779799222946167,0.77740174531936646,18.052457809448242,0,1.5130808353424072,0.029372707009315491,0,0,0
6,239.34242600575089,435.76474310209619,453.11939737005036,3.2198312887108301E-06,19.737657529301941,-9.0637701532458691E-07,-0.24662381410598755,1.1999629735946655,0.85804063081741333,1.3062078952789307,1.3326113224029541,-5.6169924736022949,0,0,0,0,0,-7.6563420295715332,2.1559526920318604,86.021804809570312,80.120864868164062,65.97515869140625,46.710594177246094,37.705833435058594,0.93592095375061035,0.84079074859619141,17.960945129394531,0,1.5130742788314819,0.10517656058073044,0,0,0
7,225.597979683429,382.95961296943483,396.70583728851034,3.4409406751527622E-06,19.73765467107296,-1.0511878362955462E-06,0.2401680201292038,1.1482671499252319,0.87101262807846069,1.142062783241272,1.1663498878479004,-7.042665958404541,0,0,0,0,0,-8.2603073120117188,2.1398868560791016,83.944862365722656,73.551734924316406,61.212390899658203,48.452617645263672,39.829940795898438,0.96987009048461914,0.87214702367782593,17.895637512207031,0,1.5130699872970581,0.010099306702613831,0,0,0
8,198.65107491053641,313.83903530866291,340.78731218438088,3.5461106471214539E-06,19.737654221244156,-1.0739782001042699E-06,-0.080828547477722168,1.0915628671646118,0.95151948928833008,0.98732203245162964,1.1795227527618408,-7.8057732582092285,0,0,0,0,0,-10.415754318237305,2.1232898235321045,83.310409545898438,69.748825073242188,39.049427032470703,50.724048614501953,40.085922241210938,0.97464215755462646,0.91303277015686035,17.849979400634766,0,1.5130677223205566,0.088696122169494629,0,0,0
9,196.81548821553588,411.6381805178803,413.47476683859804,3.4018826457027744E-06,19.737653163261712,-1.1275803808220965E-06,-0.9078553318977356,1.2321872711181641,0.89159035682678223,1.14682936668396,1.1154192686080933,-0.67973160743713379,0,0,0,0,0,-8.0674648284912109,2.1394848823547363,84.742996215820312,72.38262939453125,32.848667144775391,50.362716674804688,38.961620330810547,0.98007678985595703,0.90652894973754883,17.851047515869141,0,1.5130650997161865,0.00183620594907552,0,0,0
10,170.0449234098196,255.88859213245905,282.66001914322078,3.3994745903609772E-06,19.737656392157078,-9.6398992259260296E-07,2.0675411224365234,1.1088433265686035,0.9050220251083374,1.0369960069656372,1.0178372859954834,5.289280891418457,0,0,0,0,0,-11.196281433105469,2.1084165573120117,80.614028930664062,63.389083862304688,19.708484649658203,56.849475860595703,33.670612335205078,1.0940594673156738,1.0232905149459839,17.620306015014648,0,1.513063907623291,0.037831943482160568,0,0,0
11,188.10080059431493,373.52800419846426,355.47258877278273,3.1879140195406236E-06,19.737658430822194,-8.6070191767066421E-07,-0.8350975513458252,1.2146317958831787,0.96863877773284912,1.1221283674240112,1.0453281402587891,8.6272287368774414,0,0,0,0,0,-10.0692138671875,2.1103801727294922,82.609527587890625,66.374916076660156,32.574581146240234,55.247394561767578,38.357559204101562,1.0087258815765381,0.9944530725479126,17.734479904174805,0,1.513062596321106,0.11584464460611343,0,0,0
12,195.60086679086089,405.79787256808822,398.29839619682798,3.0213374534917852E-06,19.737657222896814,-9.2190088632473205E-07,0.091681018471717834,1.2406123876571655,1.3298404216766357,0.98839050531387329,0.97053384780883789,11.696001052856445,0,0,0,1,0,-11.182456970214844,2.1513435840606689,85.240089416503906,74.318252563476562,29.642702102661133,54.510208129882812,36.02911376953125,1.029926061630249,0.98118376731872559,17.726547241210938,0,1.5130612850189209,0.0067999712191522121,0,0,0
13,196.22629741765559,382.51661591001448,381.89176362475791,2.8960330612859988E-06,19.737656989134848,-9.3374432590235046E-07,-0.42904335260391235,1.1593070030212402,0.89369040727615356,0.95735061168670654,0.73543280363082886,9.882014274597168,0,0,0,0,0,-9.1004571914672852,2.1428713798522949,85.341163635253906,76.38177490234375,27.743375778198242,52.717090606689453,37.246280670166016,0.98845702409744263,0.94890767335891724,17.80029296875,0,1.5130598545074463,0.16716809570789337,0,0,0
14,186.81638567335904,333.46995804524977,342.88066503118898,2.8615276804838897E-06,19.7376568922773,-9.3865156779905284E-07,0.88015294075012207,1.1883111000061035,1.3559582233428955,1.0902419090270996,0.90321147441864014,8.8486528396606445,0,0,0,0,1,-9.7742776870727539,2.1470317840576172,84.443145751953125,73.137184143066406,22.682807922363281,55.496452331542969,35.722869873046875,1.0533434152603149,0.99893617630004883,17.68537712097168,0,1.5130587816238403,0.007690957747399807,0,0,0
15,168.369918637909,239.0688241080361,257.51568268490337,2.8050518474853439E-06,19.737655932083726,-9.8729932160193955E-07,0.51414972543716431,0.98191976547241211,1.1073429584503174,0.97917401790618896,0.98484218120574951,7.916748046875,0,0,0,0,0,-7.6116623878479004,2.078472375869751,81.310768127441406,65.571098327636719,14.723796844482422,57.729694366455078,35.7105712890625,1.0452711582183838,1.0391345024108887,17.653249740600586,0,1.5130585432052612,0.041148990392684937,0,0,0
16,151.31738847121596,178.66917406411176,195.72201855505318,2.770184556394775E-06,19.737653510645032,-1.1099803690195004E-06,1.6295024156570435,0.99767690896987915,1.1058907508850098,1.1302900314331055,1.0062235593795776,1.357816219329834,0,0,0,0,0,-9.3448753356933594,1.9721043109893799,74.336616516113281,52.80255126953125,17.713754653930664,60.957256317138672,37.199684143066406,1.0342872142791748,1.0972306728363037,17.606136322021484,0,1.5130584239959717,0.10226519405841827,0,0,0
17,158.35085424035788,201.11981322670272,194.08636395272879,2.6729476673187466E-06,19.737654251046479,-1.0724682795206692E-06,0.86582690477371216,0.93125671148300171,1.4080022573471069,1.044049859046936,0.99653375148773193,2.1103610992431641,0,0,0,0,1,-9.6269359588623047,2.0271034240722656,74.206626892089844,51.200061798095703,26.374204635620117,57.745651245117188,38.662174224853516,0.97737163305282593,1.0394217967987061,17.720861434936523,0,1.5130584239959717,0.012542149983346462,0,0,0
18,226.90901531092823,705.54131474737005,636.98305556128798,2.3563000690168876E-06,19.737653579562902,-1.1064886776699237E-06,0.70831286907196045,1.8116111755371094,1.1956839561462402,1.4245342016220093,1.3067976236343384,2.9689407348632812,0,0,0,1,0,-9.9732046127319336,2.152874231338501,86.808738708496094,77.905509948730469,55.5684814453125,55.272506713867188,38.161266326904297,0.99046069383621216,0.99490517377853394,17.752286911010742,0,1.5130571126937866,0.10250960290431976,0,0,0
19,160.47349296323955,130.46771867728785,196.90365451146135,2.3728829478284396E-06,19.737654970958829,-1.0359942604230636E-06,-0.065854340791702271,0.62274354696273804,1.1505675315856934,1.1110832691192627,1.0556445121765137,12.379648208618164,0,0,1,0,0,-10.437923431396484,2.1338222026824951,78.875717163085938,65.367782592773438,9.8127279281616211,51.614784240722656,39.313461303710938,0.96082460880279541,0.92906618118286133,17.84776496887207,0,1.5130569934844971,0.012639338150620461,0,0,0
20,164.38698330242187,243.49250004644,239.57888307323537,2.266789760290712E-06,19.737655652686954,-1.0014548270731966E-06,-0.30147337913513184,1.0081802606582642,1.4082236289978027,1.107858419418335,0.98717373609542847,10.862822532653809,0,0,0,0,1,-11.928183555603027,2.0966668128967285,78.676338195800781,59.607658386230469,19.936834335327148,52.445285797119141,36.644237518310547,0.92752677202224731,0.94401508569717407,17.866113662719727,0,1.5130568742752075,0.070195242762565613,0,0,0
